关键词1,关键词2,链路强度值,链接强度分类
panorama monitoring,remote sensing image,94.16666666666667,强链接
airborne system,data reliability,94.16666666666667,强链接
rotor wing control,single motor,94.16666666666667,强链接
automatic stitching,remote sensing image,94.16666666666667,强链接
collision sensor,safety airbag,94.16666666666667,强链接
fault landing,safety airbag,94.16666666666667,强链接
lighter-than-air carrier,zero-relative velocity,94.16666666666667,强链接
atomizing effect,hollow cylinder structure,94.16666666666667,强链接
real-time imaging,smart eyeglasses interface,94.16666666666667,强链接
aerial remote sensing,equidistant photography,94.16666666666667,强链接
automatic stitching,panorama monitoring,94.16666666666667,强链接
adaptive flight,camcorder lens,94.16666666666667,强链接
digital modulation,microwave communication,94.16666666666667,强链接
altitude launch,zero-relative velocity,94.16666666666667,强链接
collision sensor,fault landing,94.16666666666667,强链接
camcorder lens,foldable arm assembly,94.16666666666667,强链接
altitude launch,lighter-than-air carrier,94.16666666666667,强链接
adaptive flight,foldable arm assembly,94.16666666666667,强链接
battery system,power generation,93.5,强链接
flexible wing,rotational axis,93.5,强链接
communication channel,launch control test,93.5,强链接
digital display,launch control test,93.5,强链接
individual driving motor,transverse-flow wind wheel,93.5,强链接
individual driving motor,vertical wing arrangement,93.5,强链接
high strength material,rotational axis,93.5,强链接
flexible wing,high strength material,93.5,强链接
transverse-flow wind wheel,vertical wing arrangement,93.5,强链接
detachable component,power supply integration,93.5,强链接
communication channel,digital display,93.5,强链接
eddy resistance reduction,low-wind-resistance,93.5,强链接
eddy resistance reduction,high-balance,93.5,强链接
high-balance,low-wind-resistance,93.5,强链接
lithium ion battery,rotating wing,93.5,强链接
liquid nitrogen antifogging,nano-titanium dioxide,93.5,强链接
liquid nitrogen antifogging,ultraviolet LED illumination,93.5,强链接
nano-titanium dioxide,ultraviolet LED illumination,93.5,强链接
compass stabilization,extended duration,93.5,强链接
direct-current power supply,searchlight mechanism,93.5,强链接
lithium-ion battery,ultraviolet LED,93.5,强链接
cargo hold,lithium ion battery,93.5,强链接
cargo hold,rotating wing,93.5,强链接
compass stabilization,glancing angle optimization,93.5,强链接
clamping structure,fast detaching,93.5,强链接
adjustable launch direction,electric winch,93.5,强链接
larvae information processing,mosquito eradication,93.5,强链接
flight speed adjustment,point-surrounding flight,93.5,强链接
motor blade assembly,torsion force test,93.5,强链接
lift force test,motor blade assembly,93.5,强链接
lift force test,torsion force test,93.5,强链接
computer control system,mosquito eradication,93.5,强链接
flight speed adjustment,radius adjustment,93.5,强链接
clamping structure,installing device,93.5,强链接
point-surrounding flight,radius adjustment,93.5,强链接
electric winch,lock release mechanism,93.5,强链接
adjustable launch direction,lock release mechanism,93.5,强链接
extended duration,glancing angle optimization,93.5,强链接
fast detaching,installing device,93.5,强链接
direct-current power supply,wire reel,93.5,强链接
searchlight mechanism,wire reel,93.5,强链接
haze removal,lithium-ion battery,93.5,强链接
haze removal,ultraviolet LED,93.5,强链接
computer control system,larvae information processing,93.5,强链接
UAV tree measurement,diameter identification,93.5,强链接
UAV tree measurement,forestry technology,93.5,强链接
consistency control,pneumatic coupling,93.5,强链接
bypass vector thrust,rudder steering,93.5,强链接
air flow control,bypass vector thrust,93.5,强链接
consistency control,network formation,93.5,强链接
diameter identification,forestry technology,93.5,强链接
high-attack-angle,vector thrust,93.5,强链接
TD-LTE module,modular arrangement,93.5,强链接
dual data capture,image collection,93.5,强链接
dual data capture,fixed wing design,93.5,强链接
fixed wing design,image collection,93.5,强链接
spiral blade,vector thrust,93.5,强链接
high-attack-angle,spiral blade,93.5,强链接
network formation,pneumatic coupling,93.5,强链接
modular arrangement,satellite antenna,93.5,强链接
air flow control,rudder steering,93.5,强链接
data acquisition unit,radio frequency transceiver,93.5,强链接
positioning navigation,radio frequency transceiver,93.5,强链接
data acquisition unit,positioning navigation,93.5,强链接
battery system,charging station,93.5,强链接
charging station,power generation,93.5,强链接
TD-LTE module,satellite antenna,93.5,强链接
cargo cabin,power supply integration,93.5,强链接
cargo cabin,detachable component,93.5,强链接
audio video collection,vehicle-mounted control,93.5,强链接
audio video collection,emergency command,93.5,强链接
emergency command,vehicle-mounted control,93.5,强链接
ground movement enhancement,torque translation,93.5,强链接
minimal acoustic signature,torque translation,93.5,强链接
ground movement enhancement,minimal acoustic signature,93.5,强链接
alternating voltage,power source generator,92.83333333333333,强链接
strain tower,transmission line inspection,92.83333333333333,强链接
alternating voltage,strain tower,92.83333333333333,强链接
power source generator,strain tower,92.83333333333333,强链接
robust controller,sliding-mode control,92.83333333333333,强链接
RS422 interface,logic level measurement,92.83333333333333,强链接
automatic detection software,logic level measurement,92.83333333333333,强链接
GPS locating,fire extinguishment,92.83333333333333,强链接
control box,stretchable brushes,92.83333333333333,强链接
control box,low-altitude seeding,92.83333333333333,强链接
control box,seed cabin,92.83333333333333,强链接
low-altitude seeding,stretchable brushes,92.83333333333333,强链接
seed cabin,stretchable brushes,92.83333333333333,强链接
outer-loop controller,pitch control,92.83333333333333,强链接
inner-loop controller,pitch control,92.83333333333333,强链接
interference avoidance,robust transmission,92.83333333333333,强链接
data communication,wideband downlink,92.83333333333333,强链接
elastic cut mechanism,ground-gripping device,92.83333333333333,强链接
elastic cut mechanism,spring launcher,92.83333333333333,强链接
ground-gripping device,remote launch capability,92.83333333333333,强链接
slide track system,steel cable mechanism,92.83333333333333,强链接
electric traction motor,slide track system,92.83333333333333,强链接
slide cart return,slide track system,92.83333333333333,强链接
electric traction motor,steel cable mechanism,92.83333333333333,强链接
slide cart return,steel cable mechanism,92.83333333333333,强链接
electric traction motor,slide cart return,92.83333333333333,强链接
landing gear,shockproof design,92.83333333333333,强链接
actuating cylinder,pressure cylinder,92.83333333333333,强链接
landing gear,pressure cylinder,92.83333333333333,强链接
algorithm selection,modular sensor system,92.83333333333333,强链接
elastic tension application,inclined surface interaction,92.83333333333333,强链接
elastic tension application,latch hook design,92.83333333333333,强链接
elastic tension application,release mechanism,92.83333333333333,强链接
delayed separation,electromagnet parachute,92.83333333333333,强链接
electromagnet parachute,hinge four-bar mechanism,92.83333333333333,强链接
complementary filter,terrain tracking,92.83333333333333,强链接
latch hook design,release mechanism,92.83333333333333,强链接
configuration data,modular sensor system,92.83333333333333,强链接
pressure cylinder,shockproof design,92.83333333333333,强链接
actuating cylinder,shockproof design,92.83333333333333,强链接
digital surface model,wind turbine site,92.83333333333333,强链接
high-resolution imaging,wind turbine site,92.83333333333333,强链接
integrated supporting beam,load-bearing simplification,92.83333333333333,强链接
arc structure,load-bearing simplification,92.83333333333333,强链接
landing recovery,release unit,92.83333333333333,强链接
arresting hook,landing recovery,92.83333333333333,强链接
geophysical prospecting,low-altitude flight control,92.83333333333333,强链接
geophysical prospecting,terrain tracking,92.83333333333333,强链接
electromagnet parachute,tension bearing,92.83333333333333,强链接
delayed separation,tension bearing,92.83333333333333,强链接
hinge four-bar mechanism,tension bearing,92.83333333333333,强链接
solar reflection,zero carbon power,92.83333333333333,强链接
VHF antenna,broadband impedance matching,92.83333333333333,强链接
broadband impedance matching,radiation efficiency,92.83333333333333,强链接
broadband impedance matching,simulation optimization,92.83333333333333,强链接
VHF antenna,radiation efficiency,92.83333333333333,强链接
connecting element,dismounting structure,92.83333333333333,强链接
connecting element,rapid mounting,92.83333333333333,强链接
distributed fusion estimation,passive location,92.83333333333333,强链接
cubature information filtering,passive location,92.83333333333333,强链接
cubature information filtering,distributed fusion estimation,92.83333333333333,强链接
delayed separation,hinge four-bar mechanism,92.83333333333333,强链接
arc structure,integrated supporting beam,92.83333333333333,强链接
hollowed-out design,load-bearing simplification,92.83333333333333,强链接
hollowed-out design,integrated supporting beam,92.83333333333333,强链接
arc structure,hollowed-out design,92.83333333333333,强链接
inclined surface interaction,latch hook design,92.83333333333333,强链接
inclined surface interaction,release mechanism,92.83333333333333,强链接
rapid mounting,rotor wing,92.83333333333333,强链接
connecting element,rotor wing,92.83333333333333,强链接
dismounting structure,rapid mounting,92.83333333333333,强链接
computer vision processor,multi-scale analysis,92.83333333333333,强链接
feedback correction,multi-scale analysis,92.83333333333333,强链接
antenna circuit board,protection layer,92.83333333333333,强链接
insertion groove,protection layer,92.83333333333333,强链接
antenna circuit board,static electricity isolation,92.83333333333333,强链接
insertion groove,static electricity isolation,92.83333333333333,强链接
antenna circuit board,insertion groove,92.83333333333333,强链接
control signal,landing recovery,92.83333333333333,强链接
VHF antenna,simulation optimization,92.83333333333333,强链接
radiation efficiency,simulation optimization,92.83333333333333,强链接
arresting hook,release unit,92.83333333333333,强链接
control signal,release unit,92.83333333333333,强链接
arresting hook,control signal,92.83333333333333,强链接
digital surface model,high-resolution imaging,92.83333333333333,强链接
modular sensor system,sensor hub,92.83333333333333,强链接
algorithm selection,configuration data,92.83333333333333,强链接
configuration data,sensor hub,92.83333333333333,强链接
algorithm selection,sensor hub,92.83333333333333,强链接
actuating cylinder,landing gear,92.83333333333333,强链接
azimuth calculation,heading calibration,92.83333333333333,强链接
heading calibration,real-time measurement,92.83333333333333,强链接
heading calibration,optical axis error,92.83333333333333,强链接
azimuth calculation,real-time measurement,92.83333333333333,强链接
low-cost maintenance,modular shell design,92.83333333333333,强链接
control box protection,modular shell design,92.83333333333333,强链接
low-cost maintenance,propeller motor integration,92.83333333333333,强链接
control box protection,propeller motor integration,92.83333333333333,强链接
control box protection,low-cost maintenance,92.83333333333333,强链接
dismounting structure,rotor wing,92.83333333333333,强链接
elastic tension rope,releasing device,92.83333333333333,强链接
elastic tension rope,waiting state,92.83333333333333,强链接
computer vision processor,vision auxiliary device,92.83333333333333,强链接
feedback correction,vision auxiliary device,92.83333333333333,强链接
multi-scale analysis,vision auxiliary device,92.83333333333333,强链接
computer vision processor,feedback correction,92.83333333333333,强链接
identity verification,short-distance guidance,92.83333333333333,强链接
cargo transfer,identity verification,92.83333333333333,强链接
navigation system,short-distance guidance,92.83333333333333,强链接
cargo transfer,navigation system,92.83333333333333,强链接
identity verification,navigation system,92.83333333333333,强链接
database-driven detection,multi-rotor drone,92.83333333333333,强链接
engine radiator,waste heat utilization,92.83333333333333,强链接
modular shell design,propeller motor integration,92.83333333333333,强链接
digital surface model,optimal site selection,92.83333333333333,强链接
high-resolution imaging,optimal site selection,92.83333333333333,强链接
plasma exciter,plasma jet control,92.83333333333333,强链接
cloud deck,cutting device,92.83333333333333,强链接
cloud deck,wireless emitter,92.83333333333333,强链接
cutting device,high-altitude obstacle removal,92.83333333333333,强链接
high-altitude obstacle removal,wireless emitter,92.83333333333333,强链接
cutting device,wireless emitter,92.83333333333333,强链接
aerodynamic enhancement,miniaturized power supply,92.83333333333333,强链接
database-driven detection,water rescue,92.83333333333333,强链接
database-driven detection,fixed-wing drone,92.83333333333333,强链接
multi-rotor drone,water rescue,92.83333333333333,强链接
fixed-wing drone,multi-rotor drone,92.83333333333333,强链接
fixed-wing drone,water rescue,92.83333333333333,强链接
cargo transfer,short-distance guidance,92.83333333333333,强链接
catapulting mechanism,waiting state,92.83333333333333,强链接
releasing device,waiting state,92.83333333333333,强链接
catapulting mechanism,elastic tension rope,92.83333333333333,强链接
launch trolley,wire rope,92.83333333333333,强链接
windlass mechanism,wire rope,92.83333333333333,强链接
attachment assembly,combustion temperature,92.83333333333333,强链接
combustion temperature,miniature torpedo,92.83333333333333,强链接
combustion temperature,flammable elements,92.83333333333333,强链接
attachment assembly,miniature torpedo,92.83333333333333,强链接
attachment assembly,flammable elements,92.83333333333333,强链接
flammable elements,miniature torpedo,92.83333333333333,强链接
catapulting mechanism,releasing device,92.83333333333333,强链接
fuel discharge,gravity drainage,92.83333333333333,强链接
fuel discharge,safe recovery,92.83333333333333,强链接
gravity drainage,safe recovery,92.83333333333333,强链接
fuel discharge,oil tank valve,92.83333333333333,强链接
protection layer,static electricity isolation,92.83333333333333,强链接
gravity drainage,oil tank valve,92.83333333333333,强链接
oil tank valve,safe recovery,92.83333333333333,强链接
control loop,vertical touchdown,92.83333333333333,强链接
control loop,wing hanging engine,92.83333333333333,强链接
cloud deck,high-altitude obstacle removal,92.83333333333333,强链接
compact fuselage design,missile emission device,92.83333333333333,强链接
compact fuselage design,pin-shaped structure,92.83333333333333,强链接
compact fuselage design,integrated load system,92.83333333333333,强链接
missile emission device,pin-shaped structure,92.83333333333333,强链接
integrated load system,missile emission device,92.83333333333333,强链接
miniaturized power supply,plasma exciter,92.83333333333333,强链接
miniaturized power supply,plasma jet control,92.83333333333333,强链接
aerodynamic enhancement,plasma exciter,92.83333333333333,强链接
aerodynamic enhancement,plasma jet control,92.83333333333333,强链接
launch trolley,support frame,92.83333333333333,强链接
support frame,windlass mechanism,92.83333333333333,强链接
support frame,wire rope,92.83333333333333,强链接
launch trolley,windlass mechanism,92.83333333333333,强链接
airborne shading,zero carbon power,92.83333333333333,强链接
airborne shading,solar reflection,92.83333333333333,强链接
heat exchange cabin,temperature control module,92.83333333333333,强链接
engine radiator,temperature control module,92.83333333333333,强链接
temperature control module,waste heat utilization,92.83333333333333,强链接
engine radiator,heat exchange cabin,92.83333333333333,强链接
heat exchange cabin,waste heat utilization,92.83333333333333,强链接
bolt fixation,modular frame design,92.83333333333333,强链接
gravity center regulation,slide rod mechanism,92.83333333333333,强链接
gravity center regulation,modular frame design,92.83333333333333,强链接
modular frame design,slide rod mechanism,92.83333333333333,强链接
boost spoiler,takeoff efficiency,92.83333333333333,强链接
nose propeller,vertical touchdown,92.83333333333333,强链接
nose propeller,wing hanging engine,92.83333333333333,强链接
control loop,nose propeller,92.83333333333333,强链接
vertical touchdown,wing hanging engine,92.83333333333333,强链接
airflow concentration,structural aerodynamics,92.83333333333333,强链接
boost spoiler,structural aerodynamics,92.83333333333333,强链接
center of gravity control,stability enhancement,92.83333333333333,强链接
body defect detection,disarming device,92.83333333333333,强链接
data link monitoring,disarming device,92.83333333333333,强链接
body defect detection,emergency disarming procedure,92.83333333333333,强链接
data link monitoring,emergency disarming procedure,92.83333333333333,强链接
body defect detection,data link monitoring,92.83333333333333,强链接
distance parameterization,passive location,92.83333333333333,强链接
distance parameterization,distributed fusion estimation,92.83333333333333,强链接
cubature information filtering,distance parameterization,92.83333333333333,强链接
integrated load system,pin-shaped structure,92.83333333333333,强链接
airflow concentration,takeoff efficiency,92.83333333333333,强链接
azimuth calculation,optical axis error,92.83333333333333,强链接
optical axis error,real-time measurement,92.83333333333333,强链接
greenhouse gas extraction,solar reflection,92.83333333333333,强链接
cradle head,motor-driven rotation,92.83333333333333,强链接
four-rod mechanism,motor-driven rotation,92.83333333333333,强链接
overload control,time-sequence controller,92.83333333333333,强链接
optimal site selection,wind turbine site,92.83333333333333,强链接
airborne shading,greenhouse gas extraction,92.83333333333333,强链接
greenhouse gas extraction,zero carbon power,92.83333333333333,强链接
launch damping,overload control,92.83333333333333,强链接
launch assembly,overload control,92.83333333333333,强链接
auxiliary navigation,image storage,92.83333333333333,强链接
auxiliary navigation,low-power recognition,92.83333333333333,强链接
auxiliary navigation,mobile chip processor,92.83333333333333,强链接
image storage,low-power recognition,92.83333333333333,强链接
image storage,mobile chip processor,92.83333333333333,强链接
low-power recognition,mobile chip processor,92.83333333333333,强链接
structural aerodynamics,takeoff efficiency,92.83333333333333,强链接
airflow concentration,boost spoiler,92.83333333333333,强链接
mechanical gyroscope,shake elimination,92.83333333333333,强链接
gyroscope holder,mechanical gyroscope,92.83333333333333,强链接
launch damping,time-sequence controller,92.83333333333333,强链接
launch assembly,time-sequence controller,92.83333333333333,强链接
launch assembly,launch damping,92.83333333333333,强链接
cradle head,load capacity enhancement,92.83333333333333,强链接
four-rod mechanism,load capacity enhancement,92.83333333333333,强链接
cradle head,four-rod mechanism,92.83333333333333,强链接
GPS/INS navigation,data link module,92.83333333333333,强链接
disarming device,emergency disarming procedure,92.83333333333333,强链接
center of gravity control,lift optimization,92.83333333333333,强链接
center of gravity control,dihedral wings,92.83333333333333,强链接
lift optimization,stability enhancement,92.83333333333333,强链接
dihedral wings,stability enhancement,92.83333333333333,强链接
dihedral wings,lift optimization,92.83333333333333,强链接
load capacity enhancement,motor-driven rotation,92.83333333333333,强链接
aircraft patrolling,beyond-visual-range,92.83333333333333,强链接
posture detection,wireless video,92.83333333333333,强链接
beyond-visibility-range,reconnaissance mission,92.83333333333333,强链接
beyond-visibility-range,flight risk reduction,92.83333333333333,强链接
automatic withdrawing,beyond-visibility-range,92.83333333333333,强链接
flight risk reduction,reconnaissance mission,92.83333333333333,强链接
automatic withdrawing,reconnaissance mission,92.83333333333333,强链接
automatic withdrawing,flight risk reduction,92.83333333333333,强链接
illuminator sensor,low-altitude altimeter,92.83333333333333,强链接
illuminator sensor,refined altitude measurement,92.83333333333333,强链接
aircraft patrolling,posture detection,92.83333333333333,强链接
aircraft patrolling,wireless video,92.83333333333333,强链接
shake elimination,synchronous transmission,92.83333333333333,强链接
gyroscope holder,synchronous transmission,92.83333333333333,强链接
mechanical gyroscope,synchronous transmission,92.83333333333333,强链接
gyroscope holder,shake elimination,92.83333333333333,强链接
eccentric wheel drive,high-pressure water pump,92.83333333333333,强链接
high-pressure water pump,piston axle mechanism,92.83333333333333,强链接
guided vehicle,portable launch,92.83333333333333,强链接
high angle adjustment,portable launch,92.83333333333333,强链接
combat information,guided vehicle,92.83333333333333,强链接
combat information,high angle adjustment,92.83333333333333,强链接
combat information,portable launch,92.83333333333333,强链接
guided vehicle,high angle adjustment,92.83333333333333,强链接
motorized spray pipe,vectored thrust,92.83333333333333,强链接
coaxial propeller,vectored thrust,92.83333333333333,强链接
eccentric wheel drive,shock attenuation screw,92.83333333333333,强链接
coaxial propeller,high attack angle flight,92.83333333333333,强链接
piston axle mechanism,shock attenuation screw,92.83333333333333,强链接
high-pressure water pump,shock attenuation screw,92.83333333333333,强链接
beyond-visual-range,posture detection,92.83333333333333,强链接
beyond-visual-range,wireless video,92.83333333333333,强链接
atomizer,wing-shaped branch pipe,92.83333333333333,强链接
high attack angle flight,vectored thrust,92.83333333333333,强链接
coaxial propeller,motorized spray pipe,92.83333333333333,强链接
high attack angle flight,motorized spray pipe,92.83333333333333,强链接
radio frequency module,telemetering system,92.83333333333333,强链接
airborne communication,radio frequency module,92.83333333333333,强链接
flight control computer,serial communication,92.83333333333333,强链接
data link module,serial communication,92.83333333333333,强链接
GPS/INS navigation,serial communication,92.83333333333333,强链接
data link module,flight control computer,92.83333333333333,强链接
GPS/INS navigation,flight control computer,92.83333333333333,强链接
duplexer isolation,radio frequency module,92.83333333333333,强链接
airborne communication,telemetering system,92.83333333333333,强链接
duplexer isolation,telemetering system,92.83333333333333,强链接
airborne communication,duplexer isolation,92.83333333333333,强链接
eccentric wheel drive,piston axle mechanism,92.83333333333333,强链接
angle determination,illuminator sensor,92.83333333333333,强链接
low-altitude altimeter,refined altitude measurement,92.83333333333333,强链接
angle determination,low-altitude altimeter,92.83333333333333,强链接
angle determination,refined altitude measurement,92.83333333333333,强链接
outer-loop controller,saturation module,92.83333333333333,强链接
inner-loop controller,saturation module,92.83333333333333,强链接
pitch control,saturation module,92.83333333333333,强链接
inner-loop controller,outer-loop controller,92.83333333333333,强链接
cable net testing,logic level measurement,92.83333333333333,强链接
RS422 interface,automatic detection software,92.83333333333333,强链接
RS422 interface,cable net testing,92.83333333333333,强链接
automatic detection software,cable net testing,92.83333333333333,强链接
failure redundancy,power stability,92.83333333333333,强链接
dual motor system,failure redundancy,92.83333333333333,强链接
atomizer,electric pump control,92.83333333333333,强链接
atomizer,rechargeable lithium battery,92.83333333333333,强链接
counterweight balance,vertical telescopic rod,92.83333333333333,强链接
camera cabin,vertical telescopic rod,92.83333333333333,强链接
failure redundancy,motor mounting rod,92.83333333333333,强链接
dual motor system,power stability,92.83333333333333,强链接
motor mounting rod,power stability,92.83333333333333,强链接
dual motor system,motor mounting rod,92.83333333333333,强链接
bolt fixation,gravity center regulation,92.83333333333333,强链接
bolt fixation,slide rod mechanism,92.83333333333333,强链接
low-altitude seeding,seed cabin,92.83333333333333,强链接
catapult mechanism,parachute system,92.83333333333333,强链接
gravity anti-interference,universal joint bearing,92.83333333333333,强链接
gravity anti-interference,imaging device,92.83333333333333,强链接
gravity anti-interference,shock absorber set,92.83333333333333,强链接
imaging device,universal joint bearing,92.83333333333333,强链接
shock absorber set,universal joint bearing,92.83333333333333,强链接
imaging device,shock absorber set,92.83333333333333,强链接
foaming resin support,lightweight wing,92.83333333333333,强链接
composite-material frame,lightweight wing,92.83333333333333,强链接
composite-material frame,foaming resin support,92.83333333333333,强链接
image sensor integration,missile countermeasure,92.83333333333333,强链接
explosive payload,image sensor integration,92.83333333333333,强链接
image sensor integration,radio frequency deception,92.83333333333333,强链接
electric pump control,rechargeable lithium battery,92.83333333333333,强链接
electric pump control,wing-shaped branch pipe,92.83333333333333,强链接
rechargeable lithium battery,wing-shaped branch pipe,92.83333333333333,强链接
explosive payload,missile countermeasure,92.83333333333333,强链接
missile countermeasure,radio frequency deception,92.83333333333333,强链接
explosive payload,radio frequency deception,92.83333333333333,强链接
counterweight balance,flight stability,92.83333333333333,强链接
camera cabin,flight stability,92.83333333333333,强链接
flight stability,vertical telescopic rod,92.83333333333333,强链接
camera cabin,counterweight balance,92.83333333333333,强链接
affine nonlinear equations,state original point,92.83333333333333,强链接
robust controller,state original point,92.83333333333333,强链接
affine nonlinear equations,robust controller,92.83333333333333,强链接
exhausting mechanism,parachute landing,92.83333333333333,强链接
interconnected blasting,parachute landing,92.83333333333333,强链接
air bag buffering,parachute landing,92.83333333333333,强链接
damage reduction,rapid response,92.83333333333333,强链接
catapult mechanism,rapid response,92.83333333333333,强链接
parachute system,rapid response,92.83333333333333,强链接
catapult mechanism,damage reduction,92.83333333333333,强链接
damage reduction,parachute system,92.83333333333333,强链接
remote launch capability,spring launcher,92.83333333333333,强链接
ground-gripping device,spring launcher,92.83333333333333,强链接
aluminum sheet,lightweight wing,92.83333333333333,强链接
aluminum sheet,foaming resin support,92.83333333333333,强链接
aluminum sheet,composite-material frame,92.83333333333333,强链接
alternating voltage,transmission line inspection,92.83333333333333,强链接
power source generator,transmission line inspection,92.83333333333333,强链接
GPS locating,three-axis cloud deck,92.83333333333333,强链接
GPS locating,radar avoidance,92.83333333333333,强链接
motor protection,severe weather adaptation,92.83333333333333,强链接
lithium battery shield,rain-proof cover,92.83333333333333,强链接
lithium battery shield,motor protection,92.83333333333333,强链接
gripper mechanism,telescopic motor,92.83333333333333,强链接
cable maintenance,gripper mechanism,92.83333333333333,强链接
cable maintenance,telescopic motor,92.83333333333333,强链接
exhausting mechanism,interconnected blasting,92.83333333333333,强链接
air bag buffering,exhausting mechanism,92.83333333333333,强链接
air bag buffering,interconnected blasting,92.83333333333333,强链接
elastic cut mechanism,remote launch capability,92.83333333333333,强链接
sliding-mode control,state original point,92.83333333333333,强链接
affine nonlinear equations,sliding-mode control,92.83333333333333,强链接
complementary filter,geophysical prospecting,92.83333333333333,强链接
low-altitude flight control,terrain tracking,92.83333333333333,强链接
complementary filter,low-altitude flight control,92.83333333333333,强链接
fire extinguishment,three-axis cloud deck,92.83333333333333,强链接
fire extinguishment,radar avoidance,92.83333333333333,强链接
radar avoidance,three-axis cloud deck,92.83333333333333,强链接
data communication,robust transmission,92.83333333333333,强链接
robust transmission,wideband downlink,92.83333333333333,强链接
electric removal,gripper mechanism,92.83333333333333,强链接
electric removal,telescopic motor,92.83333333333333,强链接
cable maintenance,electric removal,92.83333333333333,强链接
rain-proof cover,severe weather adaptation,92.83333333333333,强链接
motor protection,rain-proof cover,92.83333333333333,强链接
data communication,interference avoidance,92.83333333333333,强链接
interference avoidance,wideband downlink,92.83333333333333,强链接
lithium battery shield,severe weather adaptation,92.83333333333333,强链接
supporting rods,wing frame,70.625,强链接
propeller synchronization,wing frame,70.625,强链接
support rods,wing frame,70.625,强链接
dual propellers,wing frame,70.625,强链接
GPS inertial system,photoelectric detection,69.0,强链接
line inspection,photoelectric detection,69.0,强链接
photogrammetry,sensor stabilization,68.9,强链接
sensor stabilization,triaxial orthographic nacelle,68.9,强链接
sliding support shaft,wing folding,67.66666666666667,强链接
digital signal processor,mobile storage,65.0,强链接
crop maturity recognition,digital signal processor,65.0,强链接
linear bearing,power testing,64.5,强链接
high-rise fire suppression,photoelectric detection,63.666666666666664,强链接
fire rescue,photoelectric detection,63.666666666666664,强链接
agricultural aviation,electric propulsion,63.22222222222222,强链接
agricultural aviation,rice disease recognition,63.22222222222222,强链接
