appln_id,appln_kind,earliest_publn_year,granted,appln_title,appln_abstract,Result
336237825,A ,2012,N,COORDINATED BLADE FOR STEERING,"The present invention relates to an arrangement for automatic control of turns of a marine vessel comprising a hull with an angular bottom portion, which marine vessel is empowered by at least two propulsion pod units being mounted onto the hull with their respective vertical axis in an angle (脽) against the horizontal plane, said arrangement comprising at least a steering angle acquiring unit, a speed acquiring unit and a control unit arranged to automatically compensate to improve comfort and/or improved fuel economy wherein the control unit is arranged to automatically and instantaneously generating a control action/signal to control a moment generating device arranged to provide an intercepting moment (MI) based on input from said steering angle acquiring unit wherein said moment generating device comprises at least two individually, adjustably displaceable blades of interceptor members arranged on the hull.","Keywords: [marine propulsion, automatic steering, interceptor blades, fuel economy, vessel comfort]

Innovation:
1. Angled propulsion pods with instantaneous control signals for radical improvement in marine vessel maneuverability.
2. Individually adjustable interceptor blades providing precise intercepting moments enhancing fuel efficiency.
3. Integrated control unit leveraging steering and speed data to optimize both comfort and operational economy."
337058256,W ,2012,N,AN AUTONOMOUS STRATOSPHERIC UNMANNED AIRSHIP,"Task of the invention is an autonomous stratospheric unmanned airship (10) with the operating altitude from 5 to 22 km and with the operational cycle measured in months. Spheroid rigid frame of constant volume is done as a geodesic frame (11) formed by a multitude of struts (28), with an outer envelope (12) enclosing the frame (11) defining the eigenfrequency spectrum of the airship (10) in the frequency range above 20 Hz, with the vibrational amplitudes between 0,1 and 1 cm. Independently controllable electrical propulsion units (14) are attached to the frame (11) in the horizontal plane passing through the center of mass, and can change the direction and the value of the thrust vector. Buoyancy is controlled with a system integrated inside the geodesic frame (11) consisting of pressurized tanks (23) containing buoyant fluid, valves (24) for the release of the buoyant fluid through the buoyant fluid conduit (26) into the buoyant gas cell (38) which by expansion fills the geodesic frame (11); and valves (18) placed at the subsystem support platform (17) enabling ambient atmosphere to fill the internal volume of the frame (11) not occupied by the buoyant gas cell (38). Additionally, inside the frame (11) is a power system comprised of batteries (32) and photovoltaic cells (13) placed at the upper part of the envelope (12). Besides the communication system (36, 37) and antennas (19, 20) airship has a control unit (32) and a specialized scientific equipment for various purposes placed at the platform (17) in a form of payload (34).","Keywords: [stratospheric airship, geodesic frame, vibrational control, electrical propulsion, buoyancy system]

Innovation:
1. Geodesic frame with eigenfrequency spectrum above 20 Hz enabling precise vibrational control in high-altitude environments.
2. Independently controllable electrical propulsion units altering thrust vector direction for enhanced maneuverability at extreme altitudes.
3. Integrated buoyancy system using pressurized tanks and valves to regulate altitude dynamically through buoyant gas expansion."
337293241,A ,2013,Y,REMOTE DATA CONCENTRATOR,"A remote data concentrator (RDC) for an avionics network, the RDC comprising an input/output interface (I/O) for connection to one or more input/output devices, and a network interface for connection to a remote processor, wherein the RDC is operable to provide communication between the input/output device(s) and the remote processor, and wherein the RDC further comprises a set of instructions for autonomously driving an output device connected to the I/O. Also, an avionics network including the RDC; an aircraft including the RDC; and a method of operating the RDC.","Keywords: [remote data concentrator, avionics network, autonomous output, input/output interface, network communication]

Innovation:
1. Autonomous instruction set enabling independent operation of output devices in an avionics network.
2. Remote data concentrator facilitating seamless communication between I/O devices and remote processors.
3. Integration of RDC within aircraft systems enhancing network efficiency and device management capabilities."
337687658,A ,2012,Y,AUTOMATIC MOTORISED DERAILLEUR,"A motorised automatic derailieur for an electric vehicle, which can change the speed ratio automatically according to the speed of the electric vehicle. The derailieur utilises the forward and reverse rotation of the motor, a planetary gear train, and two clutches, to construct an auto-switching transmission. When the vehicle is under slow speed, the motor is under reverse rotation, the rotor is connected to the planetary gear train through a clutch, driving the wheels to rotate after slowing down; when the vehicle reaches the normal speed, the motor automatically switches to the forward rotation state, the clutch and planetary gear train are disengaged, the rotor through another clutch directly drives the wheels to rotate, or through another derailieur, drive the wheels to rotate at a higher speed. In this way, regardless if the vehicle's speed is fast or slow, the rotor of the motor rotates in considerable speed, ensuring the motor is in a better working condition.","Keywords: [automatic derailleur, electric vehicle transmission, planetary gear train, dual clutch system, speed adaptation]

Innovation:
1. Motorised derailleur with reverse and forward rotation for seamless automatic speed ratio adjustment.
2. Planetary gear train and dual clutch mechanism enabling efficient low-speed torque enhancement.
3. Continuous high rotor speed maintenance across varying vehicle speeds for optimal motor performance."
338942395,W ,2012,N,MODIFIED THRUST LIMIT SCHEDULE FOR CONTROL OF THRUST ASYMMETRY,A flight control and engine control function for a multi-engine aircraft which automatically controls maximum thrust on the operating engine to a value lower than the nominal thrust limit schedule in the event of loss of thrust on another engine. The maximum engine thrust of the operating engine is controlled (limited) such that the resulting thrust asymmetry can be controlled at airspeeds lower than would otherwise be the case. The decrease in engine-out minimum control speed can reduce the limitation on landing speeds that would otherwise be caused by engine-out minimum control speed.,"Keywords: [thrust asymmetry control, engine-out safety, multi-engine flight dynamics, adaptive thrust limit, landing speed optimization]

Innovation:
1. Adaptive thrust limitation on operating engines during engine failure reduces thrust asymmetry at lower airspeeds.
2. Engine-out minimum control speed reduction enhances aircraft maneuverability and safety during emergencies.
3. Optimized landing speeds through controlled thrust asymmetry improve operational flexibility and reduce risks."
339368859,A ,2013,N,RECONFIGURABLE BATTERY-OPERATED VEHICLE SYSTEM,"A quadrotor UAV including ruggedized, integral-battery, load- bearing body, two arms on the load-bearing body, each arm having two rotors, a control module mounted on the load-bearing body, a payload module mounted on the control module, and skids configured as landing gear. The two arms are replaceable with arms having wheels for ground vehicle use, with arms having floats and props for water-surface use, and with arms having pitch-controlled props for underwater use. The control module is configured to operate as an unmanned aerial vehicle, an unmanned ground vehicle, an unmanned (water) surface vehicle, and an unmanned underwater vehicle, depending on the type of arms that are attached.","Keywords: [quadrotor UAV, integral-battery body, multi-environment adaptability, modular arm design, versatile control system]

Innovation:
1. Modular arms enabling quadrotor conversion into aerial, ground, water, and underwater vehicles.
2. Integral-battery load-bearing body enhancing ruggedness and operational efficiency across environments.
3. Versatile control module supporting multiple vehicle types through adaptive arm configurations."
340257087,A ,2013,Y,"Installation for shaping tint block of e.g. paperboard for carrying out package, has automatic locking unit for locking cutting tools, support printing bands and marking tools on splitting, counter-bracing and stamping shafts, respectively","The installation (1) has two splitting shafts (2, 3) arranged parallel to each other in a horizontal plane (P1), where each shaft is equipped with cutting tools (4) adjustable in position on the shaft. An automatic adjustment device (13) adjusts positioning of the cutting tools, support printing bands (7) and marking tools along axes of the shaft, a counter-bracing shaft (5) and a stamping shaft (8) in an independent manner. An automatic locking unit locks the cutting tools, the bands and the marking tools on the corresponding shafts, respectively.","Keywords: [splitting shaft, cutting tool adjustment, automatic locking, support printing band, marking tool positioning]

Innovation:
1. Automatic adjustment device enabling independent positioning of cutting tools, printing bands, and marking tools on parallel splitting shafts.
2. Innovative locking unit securing cutting tools, bands, and marking tools to prevent unwanted movement during operation.
3. Integration of counter-bracing and stamping shafts for enhanced precision in material processing tasks."
340458658,U ,2012,Y,Money counter,"The utility model relates to a money counter, which comprises a money-feeding device and a money-detecting device, wherein the money-feeding device also comprises a paper-money leaning surface and a money-sliding plate which are positioned at the two opposite sides of a money-feeding opening, the paper-money leaning surface is one part of an upper cover of a money-counter shell, and a plane where the paper-money leaning surface is positioned is tangent with a money-twisting wheel; the upper end of the money-sliding plate is fixedly connected with the shell, the lower end of the money-sliding plate is upwards folded, and a money-supporting plate is formed by the folded part; when paper money is put into the money counter, even though a money-putting sensor is triggered, the paper money still cannot be twisted into the money counter; then, the paper money is shifted at a gap, so that the bundled paper money can be automatically formed into a wedge-shaped angle and is smoothly and separately transmitted to a money-transporting channel through the money-twisting wheel; and the faulty operation brought by the money-releasing opportunity in a traditional mode does not need to be considered. The whole operating process is smoother, and money placement can be ensured to be well finished when the money counter is operated by different persons who are trained or not.","Keywords: [money counter, paper-money leaning surface, money-sliding plate, money-twisting wheel, wedge-shaped angle]

Innovation:
1. Money-sliding plate with folded lower end forming a money-supporting plate ensures smooth individual paper money transmission.
2. Wedge-shaped angle formation for bundled paper money enables efficient separation and transport through the twisting wheel mechanism.
3. Design eliminates dependency on traditional money-releasing timing, ensuring consistent operation irrespective of user training."
340457456,U ,2012,Y,Fuel conveying system for fireplace,"The utility model relates to a fuel conveying system for a fireplace, which comprises a hopper arranged above the rear portion of a furnace cavity. A longitudinal tangent plane of the bottom of the hopper is an inversed triangle, an inclined fuel automatic-conveying part is installed at the bottom of the hopper, and an opening position of the upper portion of the fuel automatic-conveying part is located above a fuel box inside the furnace cavity. The fuel automatic-conveying part comprises a fuel conveying part with the bottom arranged at the bottom of the hopper and a motor which is located outside the hopper and connected with the bottom of the fuel conveying part. The fuel conveying part comprises a transmission shaft directly connected with the motor and spiral blades around the transmission shaft. The transmission shaft and the spiral blades are located in a conveying channel, a top opening of the conveying channel is connected with a blanking pipe, and an opening of the blanking pipe is located above the fuel box inside the furnace cavity. The fuel conveying part is driven by the motor to automatically convey fuel into furnace cavity, thereby achieving effect of controlling fuel supply quantity, enabling the fuel to be fully utilized and improving utilization rate of pellet fuels.","Keywords: [fuel conveying, inverted triangle hopper, automatic fuel delivery, spiral blade mechanism, motorized control]

Innovation:
1. Inverted triangle hopper design with inclined automatic-conveying part for optimized fuel flow and distribution.
2. Motor-driven spiral blades within a conveying channel enabling precise and automated fuel supply regulation.
3. Integration of blanking pipe ensures accurate fuel placement into furnace cavity, enhancing pellet fuel utilization efficiency."
340458473,U ,2012,Y,Super long-range unmanned aerial vehicle control system based on civil mobile phone network,"The utility model discloses a super long-range unmanned aerial vehicle control system based on a civil mobile phone network, which is formed by an airborne system and a ground system. The airborne system is composed of a communication and navigation subsystem and an attitude control subsystem. The communication and navigation subsystem completes mobile phone communication, automatic navigation and task functions, the attitude control subsystem completes attitude and speed control of an unmanned aerial vehicle, the ground system achieves manually or automatically sending out control instruction which is received by the attitude control subsystem so as to achieve take-off and landing control and work mode conversion of the unmanned aerial vehicle. The super long-range unmanned aerial vehicle control system adopts the mobile phone network to achieve the super long-range control of the unmanned aerial vehicle, overcomes the shortcomings that a corresponding control device in the existing technology of the unmanned aerial vehicle is large in volume, heavy in weight, large in power consumption and strong in electromagnetic radiation, obtains distributed control based on data and instruction transmission of the mobile phone network, can be widely applied to many fields of forest fire prevention, surveying and mapping, exploration, aerial photography and videography, disaster reduction and disaster relief, law enforcement and supervision, emergency command and the like.","Keywords: [long-range UAV, mobile network control, attitude control, distributed control, lightweight system]

Innovation:
1. Utilizes civil mobile phone networks for super long-range UAV control, breaking from traditional bulky control systems.
2. Lightweight and low-power system enables widespread applications in diverse fields like forest fire prevention and aerial videography.
3. Distributed control through mobile network data transmission integrates advanced communication with UAV navigation and task functions."
340453229,U ,2012,Y,Automatic glue spraying device for valve gasket,"The utility model discloses an automatic glue spraying device for a valve gasket, which comprises a spraying mechanism, a drying mechanism, a positioning mechanism and a delivery mechanism. The spraying mechanism comprises a glue spraying container arranged on a spraying position, a glue collection container arranged under the spraying position and a pipeline communicated with the containers through a glue circulating pump; and the bottom of the glue spraying container is provided with a strip glue outlet, the positioning mechanism is provided with a planar positioning plate with a plurality of valve arrangement holes arranged uniformly, and the valve arrangement holes penetrate through the upper plane and the lower plane of the positioning plate. The production process of automatically coating glue on the valve gasket is adopted, the glue can maintain the certain viscosity, concentration and flow rate due to delivery of a motor, the viscosity of the valve gasket can be improved after processing, and the unsafe problems of air leakage of a valve and falling of the valve can be solved. Meanwhile, due to automation of glue coating of the valve gasket, the working efficiency of production can be increased significantly, raw materials can be recycled, the production cost can be saved, and the environmental pollution can be reduced.","Keywords: [glue spraying, valve gasket, automatic coating, viscosity control, recycling system]

Innovation:
1. Automatic glue spraying device with precise strip outlet for uniform coating on valve gaskets enhancing product reliability.
2. Integrated positioning mechanism with planar plate and multiple uniform holes ensures accurate placement during processing.
3. Automated process improves efficiency, reduces costs, and minimizes environmental impact through material recycling."
340451676,U ,2012,Y,Pressure ring mechanism of expander,"The utility model discloses a pressure ring mechanism of an expander, which comprises an expansion cavity, a spindle inside the expansion cavity, and a planet gear. The expansion cavity is provided with inner teeth, the spindle is provided with outer teeth, and the planet gear is respectively meshed with the inner teeth and the outer teeth. The pressure mechanism is initially in a 'dynamic extrusion' structure, so that materials are stirred, mixed and sheared fully, wear of parts is reduced, service lives of wearing parts can be prolonged, the problem of passive shutdown is effectively solved, and material buildup is not easy to occur during shutdown. The floating planet gear is capable of automatically centering, so that curve deformation of the cantilever spindle is relieved, fine economic prospect is achieved, and fine social benefit can be created.","Keywords: [expander pressure ring, dynamic extrusion, planet gear meshing, automatic centering, wear reduction]

Innovation:
1. Dynamic extrusion structure enabling thorough material stirring and mixing while reducing wear on parts.
2. Floating planet gear automatically centers to relieve spindle deformation, enhancing operational efficiency.
3. Innovative meshing design between inner and outer teeth with a planet gear minimizes material buildup during shutdown."
340492358,W ,2012,N,LOAD REACTION TYPE SPEED CHANGE MECHANISM,"A speed change mechanism wherein automatic speed change is performed by reacting to load, is composed of a small number of parts. Said speed change mechanism is provided with an output shaft which is connected to a carrier of a planetary gear speed change mechanism; an operating ring which rotates relative to a ring gear of the planetary gear speed change mechanism; and coil springs which apply forces in such a way as to bias the relative rotation attitude of the ring gear and the operating gear toward a neutral attitude. The speed change mechanism is also provided with an operation body which, if the relative rotation attitude between the ring gear and the operating ring is the neutral attitude, connects the ring gear and the carrier to each other, and which, if said relative rotation attitude deviates from the neutral attitude, fixes the ring gear and allows rotation of the carrier.","Keywords: [load-responsive speed change, planetary gear mechanism, coil spring biasing, minimal component design, neutral rotation attitude]

Innovation:
1. Load-responsive automatic speed change with minimal components using a planetary gear system.
2. Coil springs bias the ring gear and operating ring toward a neutral rotation attitude for smooth operation.
3. Operation body dynamically connects or fixes ring gear based on deviation from neutral attitude, enhancing adaptability."
340492889,W ,2012,N,TRANSPONDER DECODER,"An Automatic Dependent Surveillance-Broadcast (ADS-B) system for an aircraft and method of automatically harmonizing a transponder squawk code and an (ADS-B) system such that a squawk code broadcast by the (ADS-B) system matches the transponder squawk code, includes transmitting the transponder squawk code from a transponder positioned onboard an aircraft and receiving the transmitted transponder squawk code with a device positioned onboard the aircraft. The (ADS-B) system is updated with the received transmitter squawk code. The squawk code is transmitted using the (ADS-B) system.","Keywords: [ADS-B system, transponder squawk code, automatic harmonization, onboard device, aircraft communication]

Innovation:
1. Automatic harmonization process ensures ADS-B squawk code matches transponder code for enhanced aviation safety.
2. Onboard device receives and updates ADS-B system with transponder squawk codes to maintain synchronization.
3. Integration of ADS-B technology with traditional transponders improves real-time aircraft identification accuracy."
340487197,W ,2012,N,METHOD AND DEVICE FOR AUTOMATICALLY MANAGING THE SEPARATION BETWEEN TWO AIRCRAFT FOLLOWING ONE ANOTHER,"The invention relates to a method and device for automatically managing the separation between two aircraft following one another. The device (1) comprises a means (6, 7) for automatically calculating, prior to performing a function to acquire and maintain separation, orders for controlling speed that enable a trailing aircraft to acquire and maintain a time separation relative to a target aircraft preceding the former.","Keywords: [aircraft separation, automatic control, speed regulation, time-based navigation, trailing aircraft management]

Innovation:
1. Novel automatic calculation of speed control orders to maintain precise time separation between aircraft.
2. Significant potential for enhancing air traffic safety and efficiency through advanced trailing aircraft management.
3. Integration of scientific algorithms for real-time speed adjustment reflecting sophisticated aviation knowledge."
