source,target,weight
landing speed optimization,thrust asymmetry control,1
adaptive thrust limit,landing speed optimization,1
engine-out safety,landing speed optimization,1
adaptive thrust limit,thrust asymmetry control,1
engine-out safety,thrust asymmetry control,1
adaptive thrust limit,engine-out safety,1
integral-battery body,multi-environment adaptability,1
integral-battery body,quadrotor UAV,1
integral-battery body,modular arm design,1
integral-battery body,versatile control system,1
multi-environment adaptability,quadrotor UAV,1
modular arm design,multi-environment adaptability,1
multi-environment adaptability,versatile control system,1
modular arm design,quadrotor UAV,1
quadrotor UAV,versatile control system,1
modular arm design,versatile control system,1
automatic locking,marking tool positioning,1
marking tool positioning,support printing band,1
cutting tool adjustment,marking tool positioning,1
marking tool positioning,splitting shaft,1
automatic locking,support printing band,1
automatic locking,cutting tool adjustment,1
automatic locking,splitting shaft,1
cutting tool adjustment,support printing band,1
splitting shaft,support printing band,1
cutting tool adjustment,splitting shaft,1
money counter,money-twisting wheel,1
money-sliding plate,money-twisting wheel,1
money-twisting wheel,wedge-shaped angle,1
money-twisting wheel,paper-money leaning surface,1
money counter,money-sliding plate,1
money counter,wedge-shaped angle,1
money counter,paper-money leaning surface,1
money-sliding plate,wedge-shaped angle,1
money-sliding plate,paper-money leaning surface,1
paper-money leaning surface,wedge-shaped angle,1
inverted triangle hopper,spiral blade mechanism,1
automatic fuel delivery,inverted triangle hopper,1
fuel conveying,inverted triangle hopper,1
inverted triangle hopper,motorized control,1
automatic fuel delivery,spiral blade mechanism,1
fuel conveying,spiral blade mechanism,1
motorized control,spiral blade mechanism,1
automatic fuel delivery,fuel conveying,1
automatic fuel delivery,motorized control,1
fuel conveying,motorized control,1
long-range UAV,mobile network control,1
lightweight system,long-range UAV,1
distributed control,long-range UAV,1
attitude control,long-range UAV,1
lightweight system,mobile network control,1
distributed control,mobile network control,1
attitude control,mobile network control,1
distributed control,lightweight system,1
attitude control,lightweight system,1
attitude control,distributed control,1
automatic coating,valve gasket,1
automatic coating,viscosity control,1
automatic coating,glue spraying,1
automatic coating,recycling system,1
valve gasket,viscosity control,1
glue spraying,valve gasket,1
recycling system,valve gasket,1
glue spraying,viscosity control,1
recycling system,viscosity control,1
glue spraying,recycling system,1
dynamic extrusion,expander pressure ring,1
expander pressure ring,planet gear meshing,1
automatic centering,expander pressure ring,1
expander pressure ring,wear reduction,1
dynamic extrusion,planet gear meshing,1
automatic centering,dynamic extrusion,1
dynamic extrusion,wear reduction,1
automatic centering,planet gear meshing,1
planet gear meshing,wear reduction,1
automatic centering,wear reduction,1
load-responsive speed change,neutral rotation attitude,1
load-responsive speed change,minimal component design,1
load-responsive speed change,planetary gear mechanism,1
coil spring biasing,load-responsive speed change,1
minimal component design,neutral rotation attitude,1
neutral rotation attitude,planetary gear mechanism,1
coil spring biasing,neutral rotation attitude,1
minimal component design,planetary gear mechanism,1
coil spring biasing,minimal component design,1
coil spring biasing,planetary gear mechanism,1
aircraft communication,transponder squawk code,1
aircraft communication,automatic harmonization,1
aircraft communication,onboard device,1
ADS-B system,aircraft communication,1
automatic harmonization,transponder squawk code,1
onboard device,transponder squawk code,1
ADS-B system,transponder squawk code,1
automatic harmonization,onboard device,1
ADS-B system,automatic harmonization,1
ADS-B system,onboard device,1
aircraft separation,trailing aircraft management,1
aircraft separation,automatic control,1
aircraft separation,speed regulation,1
aircraft separation,time-based navigation,1
automatic control,trailing aircraft management,1
speed regulation,trailing aircraft management,1
time-based navigation,trailing aircraft management,1
automatic control,speed regulation,1
automatic control,time-based navigation,1
speed regulation,time-based navigation,1
control circuit,intelligent alarm,1
Hall sensor,control circuit,1
blowing motor,control circuit,1
control circuit,gear monitoring,1
Hall sensor,intelligent alarm,1
blowing motor,intelligent alarm,1
gear monitoring,intelligent alarm,1
Hall sensor,blowing motor,1
Hall sensor,gear monitoring,1
blowing motor,gear monitoring,1
electromagnetic wave detection,wire antenna,1
electromagnetic wave detection,vector information,1
electromagnetic wave detection,non-mechanical scanning,1
automatic data processing,electromagnetic wave detection,1
vector information,wire antenna,1
non-mechanical scanning,wire antenna,1
automatic data processing,wire antenna,1
non-mechanical scanning,vector information,1
automatic data processing,vector information,1
automatic data processing,non-mechanical scanning,1
CCD sensitization,automatic slide handling,1
CCD sensitization,holographic imaging,1
CCD sensitization,multi-focal plane,1
CCD sensitization,digital microscopy,1
automatic slide handling,holographic imaging,1
automatic slide handling,multi-focal plane,1
automatic slide handling,digital microscopy,1
holographic imaging,multi-focal plane,1
digital microscopy,holographic imaging,1
digital microscopy,multi-focal plane,1
cost-effective production,mahjong tile design,1
automatic turning device,mahjong tile design,1
arc-shaped corner,mahjong tile design,1
low noise mechanism,mahjong tile design,1
automatic turning device,cost-effective production,1
arc-shaped corner,cost-effective production,1
cost-effective production,low noise mechanism,1
arc-shaped corner,automatic turning device,1
automatic turning device,low noise mechanism,1
arc-shaped corner,low noise mechanism,1
multi-station machine head,vertical sliding lift,1
multi-station machine head,synthetic diamond polishing,1
automatic angle switching,multi-station machine head,1
horizontal slide translation,multi-station machine head,1
synthetic diamond polishing,vertical sliding lift,1
automatic angle switching,vertical sliding lift,1
horizontal slide translation,vertical sliding lift,1
automatic angle switching,synthetic diamond polishing,1
horizontal slide translation,synthetic diamond polishing,1
automatic angle switching,horizontal slide translation,1
automatic drilling,precision alignment,1
Morse taper shank,automatic drilling,1
CNC turning machine,automatic drilling,1
automatic drilling,locating block,1
Morse taper shank,precision alignment,1
CNC turning machine,precision alignment,1
locating block,precision alignment,1
CNC turning machine,Morse taper shank,1
Morse taper shank,locating block,1
CNC turning machine,locating block,1
fast cooling,weld quality enhancement,1
protective sleeve,weld quality enhancement,1
non-ferrous metal welding,weld quality enhancement,1
positioning shaft head,weld quality enhancement,1
fast cooling,protective sleeve,1
fast cooling,non-ferrous metal welding,1
fast cooling,positioning shaft head,1
non-ferrous metal welding,protective sleeve,1
positioning shaft head,protective sleeve,1
non-ferrous metal welding,positioning shaft head,1
continuous heating,stainless steel box,1
continuous heating,electrical heated tube,1
continuous heating,thermal insulation,1
continuous heating,parabolic slide way,1
electrical heated tube,stainless steel box,1
stainless steel box,thermal insulation,1
parabolic slide way,stainless steel box,1
electrical heated tube,thermal insulation,1
electrical heated tube,parabolic slide way,1
parabolic slide way,thermal insulation,1
clutch innovation,dynamic mixer,1
clutch innovation,synchronous motor,1
clutch innovation,fuel efficiency,1
clutch innovation,planetary gearbox,1
dynamic mixer,synchronous motor,1
dynamic mixer,fuel efficiency,1
dynamic mixer,planetary gearbox,1
fuel efficiency,synchronous motor,1
planetary gearbox,synchronous motor,1
fuel efficiency,planetary gearbox,1
adaptive display,stereo image display,1
electronic equipment,stereo image display,1
stereo image display,user characteristic analysis,1
automatic control signal,stereo image display,1
adaptive display,electronic equipment,1
adaptive display,user characteristic analysis,1
adaptive display,automatic control signal,1
electronic equipment,user characteristic analysis,1
automatic control signal,electronic equipment,1
automatic control signal,user characteristic analysis,1
automatic differential,steering-wheel tractor,1
disk gear,steering-wheel tractor,1
bearing system,steering-wheel tractor,1
planetary gear,steering-wheel tractor,1
automatic differential,disk gear,1
automatic differential,bearing system,1
automatic differential,planetary gear,1
bearing system,disk gear,1
disk gear,planetary gear,1
bearing system,planetary gear,1
intelligent engraving,slider component,1
numerical-control interface,slider component,1
automatic tool-setting,slider component,1
distance detector,slider component,1
intelligent engraving,numerical-control interface,1
automatic tool-setting,intelligent engraving,1
distance detector,intelligent engraving,1
automatic tool-setting,numerical-control interface,1
distance detector,numerical-control interface,1
automatic tool-setting,distance detector,1
alarm valve set,pipeline connection,1
pipeline connection,reliability improvement,1
fire extinguishing system,pipeline connection,1
pipeline connection,sprayer arrangement,1
alarm valve set,reliability improvement,1
alarm valve set,fire extinguishing system,1
alarm valve set,sprayer arrangement,1
fire extinguishing system,reliability improvement,1
reliability improvement,sprayer arrangement,1
fire extinguishing system,sprayer arrangement,1
pedal activation,public sanitation,1
automatic flushing,public sanitation,1
public sanitation,valve control,1
public sanitation,spring mechanism,1
automatic flushing,pedal activation,1
pedal activation,valve control,1
pedal activation,spring mechanism,1
automatic flushing,valve control,1
automatic flushing,spring mechanism,1
spring mechanism,valve control,1
automatic cloth inspection,main light source,1
automatic cloth inspection,back light source,1
CCD camera,automatic cloth inspection,1
automatic cloth inspection,defect detection,1
back light source,main light source,1
CCD camera,main light source,1
defect detection,main light source,1
CCD camera,back light source,1
back light source,defect detection,1
CCD camera,defect detection,1
boiler tube plate,compound mold design,1
compound mold design,hot pressing die,1
automatic demolding,compound mold design,1
compound mold design,eccentric hole forming,1
boiler tube plate,hot pressing die,1
automatic demolding,boiler tube plate,1
boiler tube plate,eccentric hole forming,1
automatic demolding,hot pressing die,1
eccentric hole forming,hot pressing die,1
automatic demolding,eccentric hole forming,1
acceleration sensor,automatic levelling,1
automatic levelling,optical axis adjustment,1
automatic levelling,tilt detection,1
automatic levelling,correction algorithm,1
acceleration sensor,optical axis adjustment,1
acceleration sensor,tilt detection,1
acceleration sensor,correction algorithm,1
optical axis adjustment,tilt detection,1
correction algorithm,optical axis adjustment,1
correction algorithm,tilt detection,1
friction medium belt,surface polishing,1
support wheel shaft,surface polishing,1
hydraulic mechanism,surface polishing,1
circular saw web,surface polishing,1
friction medium belt,support wheel shaft,1
friction medium belt,hydraulic mechanism,1
circular saw web,friction medium belt,1
hydraulic mechanism,support wheel shaft,1
circular saw web,support wheel shaft,1
circular saw web,hydraulic mechanism,1
fume collection,retractable guide plate,1
automatic opening closing,fume collection,1
fume collection,time relay control,1
fume collection,oil leakage prevention,1
automatic opening closing,retractable guide plate,1
retractable guide plate,time relay control,1
oil leakage prevention,retractable guide plate,1
automatic opening closing,time relay control,1
automatic opening closing,oil leakage prevention,1
oil leakage prevention,time relay control,1
UWB technology,indoor airship autopilot,1
UWB technology,autonomous flight path,1
UWB technology,ultrasonic transducer,1
UWB technology,yaw angle correction,1
autonomous flight path,indoor airship autopilot,1
indoor airship autopilot,ultrasonic transducer,1
indoor airship autopilot,yaw angle correction,1
autonomous flight path,ultrasonic transducer,1
autonomous flight path,yaw angle correction,1
ultrasonic transducer,yaw angle correction,1
integrated injection moulding,magnetic battery fixture,1
gapless interference fit,magnetic battery fixture,1
double-electrode design,magnetic battery fixture,1
automatic alignment,magnetic battery fixture,1
gapless interference fit,integrated injection moulding,1
double-electrode design,integrated injection moulding,1
automatic alignment,integrated injection moulding,1
double-electrode design,gapless interference fit,1
automatic alignment,gapless interference fit,1
automatic alignment,double-electrode design,1
horizontal swinging tester,rotating testing platform,1
photoelectric performance measurement,rotating testing platform,1
precise liquid crystal panel analysis,rotating testing platform,1
automatic detection,rotating testing platform,1
horizontal swinging tester,photoelectric performance measurement,1
horizontal swinging tester,precise liquid crystal panel analysis,1
automatic detection,horizontal swinging tester,1
photoelectric performance measurement,precise liquid crystal panel analysis,1
automatic detection,photoelectric performance measurement,1
automatic detection,precise liquid crystal panel analysis,1
high-speed assembly,uniform distribution,1
automatic rounding,high-speed assembly,1
elevating device,high-speed assembly,1
circular seam fixture,high-speed assembly,1
automatic rounding,uniform distribution,1
elevating device,uniform distribution,1
circular seam fixture,uniform distribution,1
automatic rounding,elevating device,1
automatic rounding,circular seam fixture,1
circular seam fixture,elevating device,1
automatic manipulator,control system integration,1
automatic manipulator,dual-axis motion,1
automatic manipulator,screw transmission,1
automatic manipulator,grabbing mechanism,1
control system integration,dual-axis motion,1
control system integration,screw transmission,1
control system integration,grabbing mechanism,1
dual-axis motion,screw transmission,1
dual-axis motion,grabbing mechanism,1
grabbing mechanism,screw transmission,1
automatic sole cleaner,water sprayer,1
automatic sole cleaner,roller mechanism,1
automatic sole cleaner,integrated frame,1
automatic sole cleaner,inclined surface,1
roller mechanism,water sprayer,1
integrated frame,water sprayer,1
inclined surface,water sprayer,1
integrated frame,roller mechanism,1
inclined surface,roller mechanism,1
inclined surface,integrated frame,1
automatic locking differential,integrated crown separator,1
harmonic drive reducer,integrated crown separator,1
integrated crown separator,planetary gear,1
integrated crown separator,rolling body mechanism,1
automatic locking differential,harmonic drive reducer,1
automatic locking differential,planetary gear,1
automatic locking differential,rolling body mechanism,1
harmonic drive reducer,planetary gear,1
harmonic drive reducer,rolling body mechanism,1
planetary gear,rolling body mechanism,1
automatic discovery,network interconnection,1
automatic discovery,content retrieval,1
CNRH,automatic discovery,1
automatic discovery,content ID,1
content retrieval,network interconnection,1
CNRH,network interconnection,1
content ID,network interconnection,1
CNRH,content retrieval,1
content ID,content retrieval,1
CNRH,content ID,1
deviation guidance,traffic application,1
deviation guidance,guidance reference,1
deviation guidance,situational awareness,1
deviation guidance,navigational map,1
guidance reference,traffic application,1
situational awareness,traffic application,1
navigational map,traffic application,1
guidance reference,situational awareness,1
guidance reference,navigational map,1
navigational map,situational awareness,1
content discovery,network interconnection,1
content ID mapping,network interconnection,1
content session control,network interconnection,1
network interconnection,user agent interaction,1
content ID mapping,content discovery,1
content discovery,content session control,1
content discovery,user agent interaction,1
content ID mapping,content session control,1
content ID mapping,user agent interaction,1
content session control,user agent interaction,1
rotational axis,wing folding,1
unmanned aerial vehicle,wing folding,2
high strength material,wing folding,1
flexible wing,wing folding,1
rotational axis,unmanned aerial vehicle,1
high strength material,rotational axis,1
flexible wing,rotational axis,1
high strength material,unmanned aerial vehicle,1
flexible wing,unmanned aerial vehicle,1
flexible wing,high strength material,1
grading guide rail,lever control,1
automatic measuring,lever control,1
lever control,magnetic core sorting,1
detection chuck,lever control,1
automatic measuring,grading guide rail,1
grading guide rail,magnetic core sorting,1
detection chuck,grading guide rail,1
automatic measuring,magnetic core sorting,1
automatic measuring,detection chuck,1
detection chuck,magnetic core sorting,1
automatic gas cutting,multidirectional positioning,1
automatic gas cutting,synchronous belt drive,1
automatic gas cutting,curve face cutting,1
automatic gas cutting,flexible guide rail,1
multidirectional positioning,synchronous belt drive,1
curve face cutting,multidirectional positioning,1
flexible guide rail,multidirectional positioning,1
curve face cutting,synchronous belt drive,1
flexible guide rail,synchronous belt drive,1
curve face cutting,flexible guide rail,1
pressing structure,roll shaft,1
conveyor belt,roll shaft,1
automatic production,roll shaft,1
roll shaft,turnover platform,1
conveyor belt,pressing structure,1
automatic production,pressing structure,1
pressing structure,turnover platform,1
automatic production,conveyor belt,1
conveyor belt,turnover platform,1
automatic production,turnover platform,1
adaptive spraying,precision agriculture,1
boundary demand,precision agriculture,1
UAV spraying,precision agriculture,1
nozzle control,precision agriculture,1
adaptive spraying,boundary demand,1
UAV spraying,adaptive spraying,1
adaptive spraying,nozzle control,1
UAV spraying,boundary demand,1
boundary demand,nozzle control,1
UAV spraying,nozzle control,1
energy-saving,mechanical latching,1
buffer springs,mechanical latching,1
automatic trip-out,mechanical latching,1
contactor maintenance,mechanical latching,1
buffer springs,energy-saving,1
automatic trip-out,energy-saving,1
contactor maintenance,energy-saving,1
automatic trip-out,buffer springs,1
buffer springs,contactor maintenance,1
automatic trip-out,contactor maintenance,1
network control node,radio base station,1
multi-carrier HSDPA,radio base station,1
power control optimization,radio base station,1
hybrid ARQ,radio base station,1
multi-carrier HSDPA,network control node,1
network control node,power control optimization,1
hybrid ARQ,network control node,1
multi-carrier HSDPA,power control optimization,1
hybrid ARQ,multi-carrier HSDPA,1
hybrid ARQ,power control optimization,1
shake elimination,synchronous transmission,1
gyroscope holder,synchronous transmission,1
synchronous transmission,unmanned aerial vehicle,1
mechanical gyroscope,synchronous transmission,1
gyroscope holder,shake elimination,1
shake elimination,unmanned aerial vehicle,1
mechanical gyroscope,shake elimination,1
gyroscope holder,unmanned aerial vehicle,1
gyroscope holder,mechanical gyroscope,1
mechanical gyroscope,unmanned aerial vehicle,1
multi-source integration,optical alignment,1
modular laser system,multi-source integration,1
automatic adjustment,multi-source integration,1
laser beam superimposition,multi-source integration,1
modular laser system,optical alignment,1
automatic adjustment,optical alignment,1
laser beam superimposition,optical alignment,1
automatic adjustment,modular laser system,1
laser beam superimposition,modular laser system,1
automatic adjustment,laser beam superimposition,1
horizontal impeller,vertical shaft,1
vertical shaft,wind shield,1
vertical shaft,wind regulation wing,1
impeller device,vertical shaft,1
horizontal impeller,wind shield,1
horizontal impeller,wind regulation wing,1
horizontal impeller,impeller device,1
wind regulation wing,wind shield,1
impeller device,wind shield,1
impeller device,wind regulation wing,1
controlled traction braking,elastic arrestor,1
catapult structure,controlled traction braking,1
Y-shaped assembly,controlled traction braking,1
UAV landing system,controlled traction braking,1
catapult structure,elastic arrestor,1
Y-shaped assembly,elastic arrestor,1
UAV landing system,elastic arrestor,1
Y-shaped assembly,catapult structure,1
UAV landing system,catapult structure,1
UAV landing system,Y-shaped assembly,1
friction loss reduction,rotating member coupling,1
friction loss reduction,multi-speed transmission,1
friction loss reduction,transmission efficiency,1
double-pinion planetary gear,friction loss reduction,1
multi-speed transmission,rotating member coupling,1
rotating member coupling,transmission efficiency,1
double-pinion planetary gear,rotating member coupling,1
multi-speed transmission,transmission efficiency,1
double-pinion planetary gear,multi-speed transmission,1
double-pinion planetary gear,transmission efficiency,1
motion recognition,unmanned operation,1
laser distance sensing,motion recognition,1
motion recognition,passenger conveyor automation,1
energy-efficient control,motion recognition,1
laser distance sensing,unmanned operation,1
passenger conveyor automation,unmanned operation,1
energy-efficient control,unmanned operation,1
laser distance sensing,passenger conveyor automation,1
energy-efficient control,laser distance sensing,1
energy-efficient control,passenger conveyor automation,1
non-planar elimination,surface labeling,1
non-planar elimination,outline calculation,1
data reacquisition,non-planar elimination,1
non-planar elimination,point cloud processing,1
outline calculation,surface labeling,1
data reacquisition,surface labeling,1
point cloud processing,surface labeling,1
data reacquisition,outline calculation,1
outline calculation,point cloud processing,1
data reacquisition,point cloud processing,1
autonomous modular flyer,sensor integration,1
multiple-articulated flying system,sensor integration,1
insolation power,sensor integration,1
high aspect ratio wing,sensor integration,1
autonomous modular flyer,multiple-articulated flying system,1
autonomous modular flyer,insolation power,1
autonomous modular flyer,high aspect ratio wing,1
insolation power,multiple-articulated flying system,1
high aspect ratio wing,multiple-articulated flying system,1
high aspect ratio wing,insolation power,1
automatic-piloting,position determination,1
in-flight refuelling,position determination,1
geometrical detection,position determination,1
flight parameter control,position determination,1
automatic-piloting,in-flight refuelling,1
automatic-piloting,geometrical detection,1
automatic-piloting,flight parameter control,1
geometrical detection,in-flight refuelling,1
flight parameter control,in-flight refuelling,1
flight parameter control,geometrical detection,1
inclined plane shock test,pull-down cylinder,1
anti-rebound device,pull-down cylinder,1
object-carrying vehicle,pull-down cylinder,1
pull-down cylinder,spring-loaded block,1
anti-rebound device,inclined plane shock test,1
inclined plane shock test,object-carrying vehicle,1
inclined plane shock test,spring-loaded block,1
anti-rebound device,object-carrying vehicle,1
anti-rebound device,spring-loaded block,1
object-carrying vehicle,spring-loaded block,1
automated pin insertion,weld leg formation,1
stamping process,weld leg formation,1
dip switch,weld leg formation,1
golden finger terminal,weld leg formation,1
automated pin insertion,stamping process,1
automated pin insertion,dip switch,1
automated pin insertion,golden finger terminal,1
dip switch,stamping process,1
golden finger terminal,stamping process,1
dip switch,golden finger terminal,1
autorotation,worm machining,1
program-controlled displacement,worm machining,1
fourth-dimension axial adjustment,worm machining,1
numerically-controlled milling,worm machining,1
autorotation,program-controlled displacement,1
autorotation,fourth-dimension axial adjustment,1
autorotation,numerically-controlled milling,1
fourth-dimension axial adjustment,program-controlled displacement,1
numerically-controlled milling,program-controlled displacement,1
fourth-dimension axial adjustment,numerically-controlled milling,1
autonomous power supply,water sensor,1
autonomous power supply,vibration sensor,1
autonomous power supply,life raft system,1
aircraft safety,autonomous power supply,1
vibration sensor,water sensor,1
life raft system,water sensor,1
aircraft safety,water sensor,1
life raft system,vibration sensor,1
aircraft safety,vibration sensor,1
aircraft safety,life raft system,1
DC-DC converter,inverter integration,1
DC-DC converter,emergency protection,1
DC-DC converter,power stabilization,1
DC-DC converter,fuel cell generator,1
emergency protection,inverter integration,1
inverter integration,power stabilization,1
fuel cell generator,inverter integration,1
emergency protection,power stabilization,1
emergency protection,fuel cell generator,1
fuel cell generator,power stabilization,1
air parameter monitoring,aircraft control system,1
aircraft control system,altitude pressure detection,1
aircraft control system,erroneous data identification,1
aircraft control system,flight envelope verification,1
air parameter monitoring,altitude pressure detection,1
air parameter monitoring,erroneous data identification,1
air parameter monitoring,flight envelope verification,1
altitude pressure detection,erroneous data identification,1
altitude pressure detection,flight envelope verification,1
erroneous data identification,flight envelope verification,1
rotary plate coupling,seesaw mechanism,1
manual gear shift,rotary plate coupling,1
rotary plate coupling,speed changing box,1
electromagnetic control,rotary plate coupling,1
manual gear shift,seesaw mechanism,1
seesaw mechanism,speed changing box,1
electromagnetic control,seesaw mechanism,1
manual gear shift,speed changing box,1
electromagnetic control,manual gear shift,1
electromagnetic control,speed changing box,1
cabin environment,sensor integration,1
cabin environment,humidity control,1
cabin environment,fuel efficiency,1
cabin environment,multifunctional accessories,1
humidity control,sensor integration,1
fuel efficiency,sensor integration,1
multifunctional accessories,sensor integration,1
fuel efficiency,humidity control,1
humidity control,multifunctional accessories,1
fuel efficiency,multifunctional accessories,1
fiber bunch curtain,rendezvous conditions,1
rendezvous conditions,unmanned interception,1
agent-loaded fibers,rendezvous conditions,1
rendezvous conditions,soft kill method,1
fiber bunch curtain,unmanned interception,1
agent-loaded fibers,fiber bunch curtain,1
fiber bunch curtain,soft kill method,1
agent-loaded fibers,unmanned interception,1
soft kill method,unmanned interception,1
agent-loaded fibers,soft kill method,1
scale turnplate,vibration disc,1
automatic machining,vibration disc,1
high-speed tapping,vibration disc,1
discharge runner,vibration disc,1
automatic machining,scale turnplate,1
high-speed tapping,scale turnplate,1
discharge runner,scale turnplate,1
automatic machining,high-speed tapping,1
automatic machining,discharge runner,1
discharge runner,high-speed tapping,1
bias voltage optimization,software algorithm,1
automatic setting module,bias voltage optimization,1
bias voltage optimization,infrared detector,1
bias voltage optimization,grayscale histogram,1
automatic setting module,software algorithm,1
infrared detector,software algorithm,1
grayscale histogram,software algorithm,1
automatic setting module,infrared detector,1
automatic setting module,grayscale histogram,1
grayscale histogram,infrared detector,1
attitude controller,wind-light power,1
attitude controller,solar panel,1
attitude controller,storage battery,1
attitude controller,impeller blades,1
solar panel,wind-light power,1
storage battery,wind-light power,1
impeller blades,wind-light power,1
solar panel,storage battery,1
impeller blades,solar panel,1
impeller blades,storage battery,1
automatic coin handling,diameter differentiation,1
automatic coin handling,coin sorter,1
automatic coin handling,simple counting,1
automatic coin handling,inclined plane sorting,1
coin sorter,diameter differentiation,1
diameter differentiation,simple counting,1
diameter differentiation,inclined plane sorting,1
coin sorter,simple counting,1
coin sorter,inclined plane sorting,1
inclined plane sorting,simple counting,1
pressure-difference check valve,rubber sealing ring,1
automatic flow control,pressure-difference check valve,1
conical valve core,pressure-difference check valve,1
pressure reset spring,pressure-difference check valve,1
automatic flow control,rubber sealing ring,1
conical valve core,rubber sealing ring,1
pressure reset spring,rubber sealing ring,1
automatic flow control,conical valve core,1
automatic flow control,pressure reset spring,1
conical valve core,pressure reset spring,1
CCD linear array,direct display,1
direct display,visual attitude measurement,1
angular speed calculation,direct display,1
direct display,vertical spinning top,1
CCD linear array,visual attitude measurement,1
CCD linear array,angular speed calculation,1
CCD linear array,vertical spinning top,1
