source,target,weight,weighted_tie_strength,link_centrality,technical_distance,node_assortativity,common_neighbors_count,eigen_distance,pagerank_distance,clustering_distance,link_strength_category
planetary transmission,rotational coupling,1,0.43333333333333335,0.0,0.09970833782850451,16,3,0.0006375109539485052,0.0003508565688320728,0.2981366459627329,弱链接
gear shaft,rotational coupling,1,3.3,0.0,0.19072603050414547,4,3,0.000695924579542576,5.359550432239753e-05,0.5714285714285714,强链接
nested gear sets,planetary transmission,1,0.6538461538461539,1.0715044974119589e-05,0.2900093610300176,20,3,5.841362559407081e-05,0.00040445207315447035,0.8695652173913043,弱链接
gear shaft,nested gear sets,1,6.166666666666667,0.0,4.517509052022935e-21,0,3,0.0,1.3552527156068805e-20,0.0,强链接
gear shaft,planetary transmission,1,0.6538461538461539,0.0,0.2900093610300176,20,3,5.841362559407081e-05,0.0004044520731544703,0.8695652173913043,弱链接
interactive game piece,magnetic attraction,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic retraction rope,interactive game piece,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
interactive game piece,metallic plane,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
data disk rotation,interactive game piece,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
automatic retraction rope,magnetic attraction,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
magnetic attraction,metallic plane,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
data disk rotation,magnetic attraction,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
automatic retraction rope,metallic plane,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic retraction rope,data disk rotation,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
data disk rotation,metallic plane,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
Azimuthal alignment,construction measurement,1,15.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
Azimuthal alignment,automatic control,1,0.1511627906976744,0.0001221040196263663,0.3241562400676511,80,3,0.007075446310087015,0.0015378522061192971,0.963855421686747,弱链接
Azimuthal alignment,horizontal line projection,1,15.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
Azimuthal alignment,laser marking,1,15.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic control,construction measurement,1,0.1511627906976744,0.0,0.3241562400676511,80,3,0.007075446310087015,0.0015378522061192971,0.963855421686747,弱链接
construction measurement,horizontal line projection,1,15.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
construction measurement,laser marking,1,15.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic control,horizontal line projection,1,0.1511627906976744,0.0001221040196263663,0.3241562400676511,80,3,0.007075446310087015,0.0015378522061192971,0.963855421686747,弱链接
automatic control,laser marking,1,0.1511627906976744,0.0001221040196263663,0.3241562400676511,80,3,0.007075446310087015,0.0015378522061192971,0.963855421686747,弱链接
horizontal line projection,laser marking,1,15.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
3D object orientation,Gaussian mixture model,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
Gaussian mixture model,Mean-Shift tracking,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
Gaussian mixture model,shape-adaptive tracking,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
Gaussian mixture model,shadow removal,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
3D object orientation,Mean-Shift tracking,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
3D object orientation,shape-adaptive tracking,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
3D object orientation,shadow removal,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
Mean-Shift tracking,shape-adaptive tracking,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
Mean-Shift tracking,shadow removal,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
shadow removal,shape-adaptive tracking,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
eyewear-free,sequential display,1,3.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
depth perception,eyewear-free,1,3.5,0.0,0.0,0,3,0.0,0.0,0.0,强链接
3D imaging,eyewear-free,1,1.7,0.0,0.19055806086740024,4,3,0.00016939954056509188,7.621163306416964e-05,0.5714285714285714,弱链接
eyewear-free,focal adjustment,1,1.7,2.2143215994418757e-06,0.19050248997269825,4,3,5.980187678524049e-08,7.883868764658191e-05,0.5714285714285714,弱链接
depth perception,sequential display,1,3.5,0.0,0.0,0,3,0.0,0.0,0.0,强链接
3D imaging,sequential display,1,1.7,0.0,0.19055806086740024,4,3,0.00016939954056509188,7.621163306416964e-05,0.5714285714285714,弱链接
focal adjustment,sequential display,1,1.7,0.0,0.19050248997269825,4,3,5.980187678524049e-08,7.883868764658191e-05,0.5714285714285714,弱链接
3D imaging,depth perception,1,1.7,0.0,0.19055806086740024,4,3,0.00016939954056509188,7.621163306416964e-05,0.5714285714285714,弱链接
depth perception,focal adjustment,1,1.7,2.2143215994418757e-06,0.19050248997269825,4,3,5.980187678524049e-08,7.883868764658191e-05,0.5714285714285714,弱链接
3D imaging,focal adjustment,1,0.9285714285714286,0.009233721069672622,5.732226442357297e-05,0,3,0.00016933973868830664,2.6270545824122666e-06,0.0,弱链接
chain lifter,linkage mechanism,1,4.833333333333333,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
adjusting wheel,chain lifter,1,4.833333333333333,0.0,0.0,0,3,0.0,0.0,0.0,强链接
chain lifter,safe descending stroke,1,4.833333333333333,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic reset,chain lifter,1,0.5909090909090909,0.0,0.28132915873722614,16,3,0.0015432043947380624,0.0003390086590457462,0.8421052631578947,弱链接
adjusting wheel,linkage mechanism,1,4.833333333333333,0.0,0.0,0,3,0.0,0.0,0.0,强链接
linkage mechanism,safe descending stroke,1,4.833333333333333,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic reset,linkage mechanism,1,0.5909090909090909,0.0,0.28132915873722614,16,3,0.0015432043947380624,0.0003390086590457462,0.8421052631578947,弱链接
adjusting wheel,safe descending stroke,1,4.833333333333333,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
adjusting wheel,automatic reset,1,0.5909090909090909,0.0001221040196263663,0.28132915873722614,16,3,0.0015432043947380624,0.0003390086590457462,0.8421052631578947,弱链接
automatic reset,safe descending stroke,1,0.5909090909090909,0.0,0.28132915873722614,16,3,0.0015432043947380624,0.0003390086590457462,0.8421052631578947,弱链接
automatic trap control,light leakage closure,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic trap control,protective shield,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic trap control,pivot assembly,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic trap control,cylindrical cover,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
light leakage closure,protective shield,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
light leakage closure,pivot assembly,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
cylindrical cover,light leakage closure,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
pivot assembly,protective shield,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
cylindrical cover,protective shield,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
cylindrical cover,pivot assembly,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
automatic valve,flexible flap,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
dispensing cap,flexible flap,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
flexible flap,soft plastic body,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
flexible flap,pressure equalization,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic valve,dispensing cap,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic valve,soft plastic body,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic valve,pressure equalization,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
dispensing cap,soft plastic body,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
dispensing cap,pressure equalization,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
pressure equalization,soft plastic body,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
interceptor blades,marine propulsion,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic steering,marine propulsion,1,2.8333333333333335,0.0,0.0,0,3,0.0,0.0,0.0,强链接
marine propulsion,vessel comfort,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
fuel economy,marine propulsion,1,1.3,0.0,0.19072614008133645,4,3,0.0006886565550669068,6.119226037106781e-05,0.5714285714285714,弱链接
automatic steering,interceptor blades,1,2.8333333333333335,0.0,0.0,0,3,0.0,0.0,0.0,强链接
interceptor blades,vessel comfort,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
fuel economy,interceptor blades,1,1.3,0.0,0.19072614008133645,4,3,0.0006886565550669068,6.119226037106781e-05,0.5714285714285714,弱链接
automatic steering,vessel comfort,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic steering,fuel economy,1,1.3,0.0001221040196263663,0.19072614008133645,4,3,0.0006886565550669068,6.119226037106781e-05,0.5714285714285714,弱链接
fuel economy,vessel comfort,1,1.3,0.0,0.19072614008133645,4,3,0.0006886565550669068,6.119226037106781e-05,0.5714285714285714,弱链接
buoyancy system,stratospheric airship,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
electrical propulsion,stratospheric airship,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
stratospheric airship,vibrational control,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
geodesic frame,stratospheric airship,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
buoyancy system,electrical propulsion,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
buoyancy system,vibrational control,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
buoyancy system,geodesic frame,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
electrical propulsion,vibrational control,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
electrical propulsion,geodesic frame,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
geodesic frame,vibrational control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
autonomous output,remote data concentrator,2,7.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
autonomous output,network communication,2,3.25,0.0001221040196263663,0.190502201084894,4,3,7.023558318657083e-06,7.100826779184559e-05,0.5714285714285714,强链接
autonomous output,input/output interface,2,7.5,2.875742336937501e-08,1.764651973446459e-23,0,3,5.293955920339377e-23,0.0,0.0,强链接
autonomous output,avionics network,2,7.5,2.875742336937501e-08,1.764651973446459e-23,0,3,5.293955920339377e-23,0.0,0.0,强链接
network communication,remote data concentrator,2,3.25,0.0,0.190502201084894,4,3,7.023558318657083e-06,7.100826779184559e-05,0.5714285714285714,强链接
input/output interface,remote data concentrator,2,7.5,0.0,1.764651973446459e-23,0,3,5.293955920339377e-23,0.0,0.0,强链接
avionics network,remote data concentrator,2,7.5,0.0,1.764651973446459e-23,0,3,5.293955920339377e-23,0.0,0.0,强链接
input/output interface,network communication,2,3.25,0.0,0.190502201084894,4,3,7.023558318657083e-06,7.100826779184559e-05,0.5714285714285714,强链接
avionics network,network communication,2,3.25,0.0,0.190502201084894,4,3,7.023558318657083e-06,7.100826779184559e-05,0.5714285714285714,强链接
avionics network,input/output interface,2,7.5,0.0,0.0,0,3,0.0,0.0,0.0,强链接
dual clutch system,speed adaptation,1,10.9,3.5735035895981094e-06,0.19051798876573744,4,3,6.004393012005088e-05,6.535093852092558e-05,0.5714285714285714,强链接
automatic derailleur,speed adaptation,1,18.833333333333332,0.0,0.0,0,3,0.0,0.0,0.0,强链接
electric vehicle transmission,speed adaptation,1,10.9,0.0,0.19050363239951343,4,3,6.300129232611744e-06,7.602564073624995e-05,0.5714285714285714,强链接
planetary gear train,speed adaptation,1,0.2916666666666667,0.0,0.3172612636228524,66,3,0.005515092295871436,0.0013411623408015887,0.9449275362318841,弱链接
automatic derailleur,dual clutch system,1,10.9,0.0,0.19051798876573744,4,3,6.004393012005088e-05,6.535093852092558e-05,0.5714285714285714,强链接
dual clutch system,electric vehicle transmission,1,7.5,7.1334891924425876e-06,2.1472834367587835e-05,0,3,5.3743800887439135e-05,1.0674702215324368e-05,0.0,强链接
dual clutch system,planetary gear train,1,0.2236842105263158,0.00028619495470849925,0.1267432748571149,62,3,0.0054550483657513854,0.0012758114022806632,0.3734989648033126,弱链接
automatic derailleur,electric vehicle transmission,1,10.9,3.168109474526147e-07,0.19050363239951343,4,3,6.300129232611744e-06,7.602564073624995e-05,0.5714285714285714,强链接
automatic derailleur,planetary gear train,1,0.2916666666666667,0.00011827121993605439,0.3172612636228524,66,3,0.005515092295871436,0.0013411623408015887,0.9449275362318841,弱链接
electric vehicle transmission,planetary gear train,1,0.2236842105263158,0.0004376026310778767,0.1267576312233389,62,3,0.0055087921666388245,0.0012651367000653386,0.3734989648033126,弱链接
landing speed optimization,multi-engine flight dynamics,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
multi-engine flight dynamics,thrust asymmetry control,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
adaptive thrust limit,multi-engine flight dynamics,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
engine-out safety,multi-engine flight dynamics,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
landing speed optimization,thrust asymmetry control,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
adaptive thrust limit,landing speed optimization,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
engine-out safety,landing speed optimization,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
adaptive thrust limit,thrust asymmetry control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
engine-out safety,thrust asymmetry control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
adaptive thrust limit,engine-out safety,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
integral-battery body,multi-environment adaptability,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
integral-battery body,quadrotor UAV,1,1.3,0.0001221040196263663,0.19050394944952323,4,3,6.4895659003016675e-06,7.678735409806953e-05,0.5714285714285714,弱链接
integral-battery body,modular arm design,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
integral-battery body,versatile control system,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
multi-environment adaptability,quadrotor UAV,1,1.3,0.0001221040196263663,0.19050394944952323,4,3,6.4895659003016675e-06,7.678735409806953e-05,0.5714285714285714,弱链接
modular arm design,multi-environment adaptability,1,2.8333333333333335,0.0,0.0,0,3,0.0,0.0,0.0,强链接
multi-environment adaptability,versatile control system,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
modular arm design,quadrotor UAV,1,1.3,0.0,0.19050394944952323,4,3,6.4895659003016675e-06,7.678735409806953e-05,0.5714285714285714,弱链接
quadrotor UAV,versatile control system,1,1.3,0.0001221040196263663,0.19050394944952323,4,3,6.4895659003016675e-06,7.678735409806953e-05,0.5714285714285714,弱链接
modular arm design,versatile control system,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic locking,marking tool positioning,1,0.7222222222222222,0.0001221040196263663,0.26722521641683367,12,3,0.0014190814730262512,0.00025656777747466405,0.8,弱链接
marking tool positioning,support printing band,1,4.166666666666667,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
cutting tool adjustment,marking tool positioning,1,4.166666666666667,0.0,0.0,0,3,0.0,0.0,0.0,强链接
marking tool positioning,splitting shaft,1,4.166666666666667,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic locking,support printing band,1,0.7222222222222222,0.0001221040196263663,0.26722521641683367,12,3,0.0014190814730262512,0.00025656777747466405,0.8,弱链接
automatic locking,cutting tool adjustment,1,0.7222222222222222,0.0001221040196263663,0.26722521641683367,12,3,0.0014190814730262512,0.00025656777747466405,0.8,弱链接
automatic locking,splitting shaft,1,0.7222222222222222,0.0001221040196263663,0.26722521641683367,12,3,0.0014190814730262512,0.00025656777747466405,0.8,弱链接
cutting tool adjustment,support printing band,1,4.166666666666667,0.0,0.0,0,3,0.0,0.0,0.0,强链接
splitting shaft,support printing band,1,4.166666666666667,0.0,0.0,0,3,0.0,0.0,0.0,强链接
cutting tool adjustment,splitting shaft,1,4.166666666666667,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
money counter,money-twisting wheel,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
money-sliding plate,money-twisting wheel,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
money-twisting wheel,wedge-shaped angle,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
money-twisting wheel,paper-money leaning surface,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
money counter,money-sliding plate,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
money counter,wedge-shaped angle,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
money counter,paper-money leaning surface,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
money-sliding plate,wedge-shaped angle,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
money-sliding plate,paper-money leaning surface,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
paper-money leaning surface,wedge-shaped angle,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
inverted triangle hopper,spiral blade mechanism,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic fuel delivery,inverted triangle hopper,1,2.8333333333333335,0.0,0.0,0,3,0.0,0.0,0.0,强链接
fuel conveying,inverted triangle hopper,1,2.8333333333333335,0.0,0.0,0,3,0.0,0.0,0.0,强链接
inverted triangle hopper,motorized control,1,1.3,1.4378711684687504e-07,0.19050764737658812,4,3,9.530743489038517e-26,9.43707011929519e-05,0.5714285714285714,弱链接
automatic fuel delivery,spiral blade mechanism,1,2.8333333333333335,0.0,0.0,0,3,0.0,0.0,0.0,强链接
fuel conveying,spiral blade mechanism,1,2.8333333333333335,0.0,0.0,0,3,0.0,0.0,0.0,强链接
motorized control,spiral blade mechanism,1,1.3,0.0,0.19050764737658812,4,3,9.530743489038517e-26,9.43707011929519e-05,0.5714285714285714,弱链接
automatic fuel delivery,fuel conveying,1,2.8333333333333335,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic fuel delivery,motorized control,1,1.3,1.4378711684687504e-07,0.19050764737658812,4,3,9.530743489038517e-26,9.43707011929519e-05,0.5714285714285714,弱链接
fuel conveying,motorized control,1,1.3,1.4378711684687504e-07,0.19050764737658812,4,3,9.530743489038517e-26,9.43707011929519e-05,0.5714285714285714,弱链接
long-range UAV,mobile network control,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
lightweight system,long-range UAV,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
distributed control,long-range UAV,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
attitude control,long-range UAV,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
lightweight system,mobile network control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
distributed control,mobile network control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
attitude control,mobile network control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
distributed control,lightweight system,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
attitude control,lightweight system,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
attitude control,distributed control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
automatic coating,valve gasket,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic coating,viscosity control,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic coating,glue spraying,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic coating,recycling system,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
valve gasket,viscosity control,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
glue spraying,valve gasket,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
recycling system,valve gasket,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
glue spraying,viscosity control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
recycling system,viscosity control,1,2.1666666666666665,0.0,0.0,0,3,0.0,0.0,0.0,强链接
glue spraying,recycling system,1,2.1666666666666665,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
dynamic extrusion,expander pressure ring,1,9.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
expander pressure ring,planet gear meshing,1,9.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic centering,expander pressure ring,1,0.6756756756756757,0.0,0.30329867595318877,31,3,1.8707590304189802e-05,0.0006336227902705506,0.9092436974789916,弱链接
expander pressure ring,wear reduction,1,2.5,8.532806023205123e-05,0.2667803401203138,12,3,0.00011291657803719641,0.00022810378290416506,0.8,强链接
dynamic extrusion,planet gear meshing,1,9.5,2.875742336937501e-08,0.0,0,3,0.0,0.0,0.0,强链接
automatic centering,dynamic extrusion,1,0.6756756756756757,0.0,0.30329867595318877,31,3,1.8707590304189802e-05,0.0006336227902705506,0.9092436974789916,弱链接
dynamic extrusion,wear reduction,1,2.5,8.532806023205123e-05,0.2667803401203138,12,3,0.00011291657803719641,0.00022810378290416506,0.8,强链接
automatic centering,planet gear meshing,1,0.6756756756756757,0.0,0.30329867595318877,31,3,1.8707590304189802e-05,0.0006336227902705506,0.9092436974789916,弱链接
planet gear meshing,wear reduction,1,2.5,8.532806023205123e-05,0.2667803401203138,12,3,0.00011291657803719641,0.00022810378290416506,0.8,强链接
