appln_id,keywords
340619449,"['mahjong tile design', 'arc-shaped corner', 'automatic turning device', 'low noise mechanism', 'cost-effective production']"
340640266,"['synthetic diamond polishing', 'multi-station machine head', 'vertical sliding lift', 'horizontal slide translation', 'automatic angle switching']"
340640226,"['automatic drilling', 'CNC turning machine', 'Morse taper shank', 'locating block', 'precision alignment']"
340640155,"['positioning shaft head', 'non-ferrous metal welding', 'fast cooling', 'protective sleeve', 'weld quality enhancement']"
340638792,"['continuous heating', 'stainless steel box', 'electrical heated tube', 'parabolic slide way', 'thermal insulation']"
340635237,"['dynamic mixer', 'clutch innovation', 'synchronous motor', 'planetary gearbox', 'fuel efficiency']"
340635853,"['stereo image display', 'user characteristic analysis', 'automatic control signal', 'electronic equipment', 'adaptive display']"
340622634,"['automatic differential', 'disk gear', 'planetary gear', 'bearing system', 'steering-wheel tractor']"
340898698,"['intelligent engraving', 'numerical-control interface', 'slider component', 'distance detector', 'automatic tool-setting']"
340865482,"['sprayer arrangement', 'fire extinguishing system', 'alarm valve set', 'pipeline connection', 'reliability improvement']"
340900605,"['automatic flushing', 'pedal activation', 'valve control', 'spring mechanism', 'public sanitation']"
340903199,"['CCD camera', 'automatic cloth inspection', 'back light source', 'main light source', 'defect detection']"
341022597,"['hot pressing die', 'eccentric hole forming', 'automatic demolding', 'boiler tube plate', 'compound mold design']"
341023258,"['automatic levelling', 'tilt detection', 'optical axis adjustment', 'acceleration sensor', 'correction algorithm']"
341030600,"['circular saw web', 'surface polishing', 'hydraulic mechanism', 'friction medium belt', 'support wheel shaft']"
341033165,"['retractable guide plate', 'automatic opening closing', 'oil leakage prevention', 'time relay control', 'fume collection']"
341026447,"['indoor airship autopilot', 'UWB technology', 'ultrasonic transducer', 'autonomous flight path', 'yaw angle correction']"
341026177,"['magnetic battery fixture', 'double-electrode design', 'integrated injection moulding', 'gapless interference fit', 'automatic alignment']"
341242313,"['photoelectric performance measurement', 'automatic detection', 'horizontal swinging tester', 'rotating testing platform', 'precise liquid crystal panel analysis']"
341229617,"['circular seam fixture', 'automatic rounding', 'high-speed assembly', 'uniform distribution', 'elevating device']"
341229732,"['automatic manipulator', 'screw transmission', 'grabbing mechanism', 'control system integration', 'dual-axis motion']"
341407817,"['automatic sole cleaner', 'water sprayer', 'roller mechanism', 'integrated frame', 'inclined surface']"
341416756,"['harmonic drive reducer', 'planetary gear', 'automatic locking differential', 'rolling body mechanism', 'integrated crown separator']"
341499317,"['content ID', 'automatic discovery', 'content retrieval', 'network interconnection', 'CNRH']"
341421880,"['situational awareness', 'guidance reference', 'traffic application', 'navigational map', 'deviation guidance']"
341578492,"['content discovery', 'content ID mapping', 'network interconnection', 'user agent interaction', 'content session control']"
341673876,"['wing folding', 'flexible wing', 'unmanned aerial vehicle', 'rotational axis', 'high strength material']"
341688702,"['automatic measuring', 'magnetic core sorting', 'detection chuck', 'grading guide rail', 'lever control']"
341688941,"['flexible guide rail', 'automatic gas cutting', 'synchronous belt drive', 'curve face cutting', 'multidirectional positioning']"
341689755,"['turnover platform', 'pressing structure', 'conveyor belt', 'roll shaft', 'automatic production']"
341689669,"['UAV spraying', 'nozzle control', 'precision agriculture', 'adaptive spraying', 'boundary demand']"
341681693,"['mechanical latching', 'automatic trip-out', 'buffer springs', 'energy-saving', 'contactor maintenance']"
341679550,"['radio base station', 'hybrid ARQ', 'multi-carrier HSDPA', 'network control node', 'power control optimization']"
341676217,"['gyroscope holder', 'unmanned aerial vehicle', 'mechanical gyroscope', 'synchronous transmission', 'shake elimination']"
341663245,"['laser beam superimposition', 'optical alignment', 'modular laser system', 'automatic adjustment', 'multi-source integration']"
341697141,"['impeller device', 'wind shield', 'wind regulation wing', 'horizontal impeller', 'vertical shaft']"
341801429,"['UAV landing system', 'elastic arrestor', 'controlled traction braking', 'Y-shaped assembly', 'catapult structure']"
341726059,"['double-pinion planetary gear', 'friction loss reduction', 'transmission efficiency', 'rotating member coupling', 'multi-speed transmission']"
341725064,"['energy-efficient control', 'passenger conveyor automation', 'laser distance sensing', 'motion recognition', 'unmanned operation']"
341726558,"['point cloud processing', 'non-planar elimination', 'surface labeling', 'outline calculation', 'data reacquisition']"
341889074,"['multiple-articulated flying system', 'high aspect ratio wing', 'autonomous modular flyer', 'insolation power', 'sensor integration']"
342107222,"['automatic-piloting', 'in-flight refuelling', 'geometrical detection', 'position determination', 'flight parameter control']"
342049927,"['anti-rebound device', 'inclined plane shock test', 'object-carrying vehicle', 'spring-loaded block', 'pull-down cylinder']"
352059274,"['golden finger terminal', 'dip switch', 'weld leg formation', 'stamping process', 'automated pin insertion']"
352054113,"['numerically-controlled milling', 'worm machining', 'program-controlled displacement', 'autorotation', 'fourth-dimension axial adjustment']"
352022521,"['life raft system', 'aircraft safety', 'water sensor', 'vibration sensor', 'autonomous power supply']"
351985230,"['fuel cell generator', 'DC-DC converter', 'inverter integration', 'power stabilization', 'emergency protection']"
352425296,"['air parameter monitoring', 'altitude pressure detection', 'flight envelope verification', 'erroneous data identification', 'aircraft control system']"
352333951,"['speed changing box', 'electromagnetic control', 'manual gear shift', 'rotary plate coupling', 'seesaw mechanism']"
352335131,"['humidity control', 'cabin environment', 'sensor integration', 'fuel efficiency', 'multifunctional accessories']"
352334427,"['unmanned interception', 'fiber bunch curtain', 'soft kill method', 'rendezvous conditions', 'agent-loaded fibers']"
352579019,"['high-speed tapping', 'automatic machining', 'scale turnplate', 'discharge runner', 'vibration disc']"
352573853,"['infrared detector', 'bias voltage optimization', 'automatic setting module', 'grayscale histogram', 'software algorithm']"
352590172,"['wind-light power', 'solar panel', 'impeller blades', 'storage battery', 'attitude controller']"
352762874,"['coin sorter', 'inclined plane sorting', 'diameter differentiation', 'automatic coin handling', 'simple counting']"
352761223,"['conical valve core', 'pressure-difference check valve', 'rubber sealing ring', 'automatic flow control', 'pressure reset spring']"
352888610,"['visual attitude measurement', 'vertical spinning top', 'CCD linear array', 'angular speed calculation', 'direct display']"
352901962,"['RFID labeler', 'three-coordinate manipulator', 'metal label storage', 'automatic control', 'data writing']"
352900801,"['automatic gang saw', 'staggered rollers', 'dust extraction', 'wood cutting efficiency', 'dual worktable design']"
352943533,"['UAV control', '3D virtual scene', 'flight data recognition', 'screen display', 'operation signal conversion']"
352949320,"['unmanned aircraft', 'line capture device', 'rotor arms', 'ratchet mechanism', 'joint coupling']"
353236505,"['milling cutter', 'horizontal movement', 'vertical adjustment', 'fan shaft sleeve', 'production efficiency']"
353201274,"['cutter cleaning', 'lubricating device', 'planetary gear brush', 'automatic maintenance', 'paper cutter quality']"
353194762,"['eight-connecting-rod mechanism', 'loader efficiency', 'proportional design', 'unloading height', 'automatic lay-flat']"
353195994,"['UAV condition monitoring', 'serial bus interface', 'microprocessor integration', 'sensor data acquisition', 'expandable system configuration']"
353310357,"['edge demounting', 'centrifugal suspension', 'pneumatic control', 'rubber product processing', 'automatic deburring']"
353309857,"['non-contact welding', 'filter core assembly', 'turnplate mechanism', 'automatic production', 'temperature control']"
353325422,"['photovoltaic enhancement', 'automatic cleaning', 'cooling mechanism', 'light travelling structure', 'reversible drive']"
353322301,"['automatic shifting', 'planetary gear', 'torque-transmitting mechanism', 'centripetal force', 'ball screw actuator']"
353413096,"['fuel discharging', 'airplane maintenance tool', 'automatic regulation', 'support plate', 'illumination device']"
353415362,"['water-saving mechanism', 'rotary handle control', 'mechanical flush adjustment', 'sealing rubber cover', 'dual function fulfillment']"
353571748,"['electric torque motor', 'eccentric ring', 'integrated drive', 'friction brake', 'precise position measurement']"
353471877,"['flexible airfoil', 'automatic takeoff', 'autopilot control', 'attitude sensor', 'inertial measurement']"
353587772,"['barometric height sensor', 'lithium battery power', 'wind filtering device', 'I2C data transmission', 'PD control']"
353596264,"['silicone nipple', 'milk injector', 'position guide', 'automatic suckling', 'bionic design']"
353624634,"['hybrid transmission', 'dual clutch system', 'meshing mechanism', 'planetary gear integration', 'electric motor switching']"
353622536,"['distress locator', 'automated ejection', 'aircraft safety', 'transmitter deployment', 'peripheral flange']"
353600494,"['safety equipment', 'stope face protection', 'high-pressure aerostatic press', 'liquid level sensor', 'steel air door']"
353590791,"['suction disk', 'flexible lamp arm', 'space-saving design', 'foldable buckle', 'adsorption mechanism']"
353734978,"['automatic crate opener', 'agricultural product handling', 'wall rotation mechanism', 'hand-shaped actuators', 'stack transfer system']"
363569080,"['robotic assembly', 'high-definition camera', 'automatic positioning', 'image recognition', 'aircraft fuselage boring']"
363589100,"['unmanned transfer', 'landing gear grip', 'pivot coupling', 'steering response', 'airplane handling']"
363527300,"['slag raking machine', 'planetary gear train', 'automated aluminum smelting', 'continuous slag removal', 'transition gears']"
363742934,"['laser shock peening', 'light-water coaxial', 'focusing module', 'water nozzle', 'beam shaping']"
363743743,"['automatic transmission', 'planetary gear sets', 'engagement mechanism', 'multi-ratio gearbox', 'selective clutching']"
363712779,"['automatic lifting', 'thin plate processing', 'claw rotation mechanism', 'suction pad manipulation', 'end block positioning']"
363879959,"['clutch interface', 'coupling head exchanger', 'automatic exchange', 'magazine carrier', 'railborne vehicle integration']"
363884980,"['electromagnetic motor', 'planetary system', 'automatic door control', 'wireless access device', 'frequency hopping security']"
363936630,"['automatic mask manufacturing', 'multilayer cloth feed', 'ultrasonic welding', 'triangular folding frame', 'production efficiency']"
363948984,"['photovoltaic component', 'sealing film receiver', 'cylinder-driven rocker', 'slide block mechanism', 'horizontal stabilization']"
363946516,"['fuel cut-off', 'acceleration transducer', 'emergency braking', 'signal processor', 'automatic braking']"
363943937,"['pneumatic chamfering', 'automatic skiving', 'dual-head machine', 'fine-tuning feed', 'high-speed processing']"
363945391,"['automatic blanking', 'high pressure rubber tube', 'support roller', 'semi-finished tube placement', 'labor efficiency']"
363942944,"['mould base ejection', 'lever mechanism', 'offsetting springs', 'synchronous ejection', 'forging press']"
363943093,"['automatic casting', 'low-pressure system', 'continuous casting', 'copper ingot mold', 'enclosed channel']"
363941748,"['trapezoidal hopper', 'filter screen', 'vibrating device', 'automatic feeding', 'blockage prevention']"
363940710,"['mahjong piece tipping angle', 'arc transitional design', 'automatic turning device', 'guide rail mechanism', 'low noise shuffling']"
363942600,"['displacement measurement', 'compensation device', 'marine plate rolling', 'microcontroller system', 'electric push rod']"
363932059,"['reel feeding', 'automatic welding', 'suction cutting module', 'adjustable welding height', 'print-position marks']"
363934171,"['electronic flight control', 'rotor speed management', 'automatic modes', 'manual control', 'flight tables']"
363987447,"['automatic taxiing', 'trajectory generation', 'navigation database', 'piloting aid', 'airport domain']"
363974339,"['hold path computation', 'automatic holding pattern', 'aircraft navigation', 'time optimization', 'orbit adjustment']"
363975010,"['aircraft monitoring', 'active tracking', 'condition detection', 'automatic mode switch', 'signal reception']"
364105048,"['electrode cascade', 'dust monitoring', 'intelligent control', 'pulse generator', 'variable electromagnetic field']"
364096314,"['optical measurement', 'crack detection', 'electronic evaluation', 'turbine component inspection', 'automated classification']"
364119395,"['UAV flight plan', 'automatic generation', 'ATC integration', 'electronic approval', 'controlled airspace']"
364121007,"['gyro sensor', 'rehabilitation aid', 'body inclination detection', 'autonomous walking support', 'drive unit control']"
364258809,"['betel nut slicing', 'positioning function', 'mechanical arm integration', 'automated processing', 'high-efficiency production']"
364259215,"['electric automobile', 'automatic speed change', 'integrated power assembly', 'high-torque transmission', 'energy efficiency']"
364258399,"['automatic switching', 'gear shaping', 'inclined plane mechanism', 'cutter positioning', 'reciprocating motion']"
364268285,"['pedicle screw', 'automatic distraction', 'single-plane movement', 'vertebral correction', 'adjustable horn mouth']"
364274497,"['magnetic rotor', 'copper rotor', 'clearance adjustment', 'planetary gear mechanism', 'speed control']"
364270324,"['automatic stopper', 'lock shaft mechanism', 'spring-loaded rollers', 'wedge block assembly', 'pressure plate actuator']"
364264252,"['flight control', 'UAV regulation', 'task parameter adjustment', 'real-time command', 'autonomous navigation']"
364425078,"['ticket card storage', 'vertical pallet movement', 'friction reduction design', 'automatic ticket machine', 'guiding projection']"
364417706,"['image registration', 'static target detection', 'aerial data analysis', 'panoramic imaging', 'residual error computation']"
364417726,"['target search', 'image registration', 'block matching', 'longitude latitude', 'UAV data']"
364416856,"['distributed simulation', 'multi-UAV control', 'HLA architecture', 'real-time interface', 'virtual UAV environment']"
364416736,"['UAV monitoring', 'GPRS communication', 'crop growth sensors', 'GIS mapping', 'intelligent agriculture']"
364410610,"['automatic sorting', 'inclined support frame', 'material baffle plate', 'hoisting mechanism', 'labor reduction']"
364436332,"['electronic flight control', 'rotor speed regulation', 'automatic modes', 'manual control', 'flight tables']"
364497850,"['transflective display', 'white electro-optic layer', 'in-plane electrophoretic device', 'ambient light sensor', 'adaptive tuning']"
364462650,"['depth control', 'automatic stop', 'LED illumination', 'sliding device', 'motor-driven drill']"
364632342,"['noodle slicing', 'automatic blade selection', 'combined cutter', 'inclined surface mechanism', 'control system integration']"
364759849,"['unmanned vehicle control', 'remote activation validation', 'payload security', 'operator instruction processing', 'intelligent decision-making']"
364777458,"['inflatable training device', 'infant safety', 'soft elastic material', 'adjustable height', 'self-recovery air bag']"
364781146,"['curved track system', 'automatic angle regulation', 'multi-planar track application', 'spiral lifting mechanism', 'gear-rack transmission']"
364786712,"['soil-pressure equalization', 'mud-water conversion', 'pipe-jacking construction', 'planetary gear reducer', 'automatic soil discharge']"
364791533,"['infrared signal processing', 'automatic direction adjustment', 'display device intelligence', 'observer position tracking', 'plane coordinate analysis']"
364789614,"['aircraft engine detection', 'signal conditioning', 'data recovery device', 'industrial personnel computer', 'automatic data recording']"
364789630,"['spray quantity distribution', 'delamination collector', 'automatic checking', 'non-contact detection', 'vacuum pump discharge']"
364806501,"['emergency tipping', 'planetary speed reducer', 'molten iron transport', 'AC electromotor', 'mobile generator']"
364807050,"['automatic welding', 'crane mechanism', 'gas protection welding', 'overturning tire rack', 'labor efficiency']"
364808110,"['embedded mould', 'semicircular rib', 'three-dimensional mesh contact', 'self-fluidity filling', 'safety residual design']"
364814001,"['automatic flushing', 'urban drainage', 'water gate mechanism', 'inspection well integration', 'silt removal']"
364823099,"['high purity quartz', 'high temperature resistance', 'silicon wafer storage', 'ladder-shaped grooves', 'automatic assembly']"
364825062,"['radar video monitoring', 'wireless transmission', 'tailings reservoir', 'water level measurement', 'automatic warning']"
364817700,"['CCD camera mount', 'crystal growth control', 'sliding block adjustment', 'rotation mechanism', 'tension spring stabilization']"
364819548,"['high-temperature resistance', 'guide rail system', 'heat insulation door', 'object carrying box', 'automatic material handling']"
364815279,"['extension ladder', 'hand clamping prevention', 'automatic unlocking switch', 'safety space', 'inclined plane design']"
364816092,"['casing gas well', 'booster pump joint', 'inverted-T structure', 'inverted-U structure', 'cold charge connection']"
364810409,"['steel wire rope shock absorber', 'low-frequency vibration reduction', 'unmanned plane', 'compact design', 'automatic driving instrument']"
364810411,"['unmanned aerial vehicle', 'cradle head', 'four-rod mechanism', 'motor-driven rotation', 'load capacity enhancement']"
364810570,"['soft bag filling', 'belt conveying mechanism', 'synchronous stepping', 'back-to-back turning', 'automated case packing']"
364851563,"['planetary gear mechanism', 'automatic transmission', 'clutch brake system', 'friction loss reduction', 'multi-stage speed change']"
364857491,"['vehicle discrimination', 'resonant frequency detection', 'magnetic field analysis', 'vertical coil orientation', 'automatic gate integration']"
364856362,"['friction reduction', 'planetary gear mechanism', 'automatic transmission', 'brake clutch system', 'rotating elements']"
364856363,"['planetary gear mechanism', 'automatic transmission', 'brake system', 'clutch mechanism', 'friction reduction']"
364856410,"['planetary gear mechanism', 'clutch brake system', 'multi-stage transmission', 'rotating element connection', 'friction loss reduction']"
364840315,"['intracardiac imaging', 'electrode visualization', 'echocardiography', 'tissue modeling', 'automatic segmentation']"
364930687,"['bevel gear', 'wing unfolding', 'torsion spring', 'unmanned aerial vehicle', 'pneumatic lift']"
364935210,"['weft-releasing device', 'pneumatic claw', 'guiding roller', 'sliding plate drive', 'braking structure']"
364937482,"['automatic switching', 'magnetic valve', 'piston mechanism', 'remote control', 'sealing plane']"
364938227,"['electronic controller', 'ultrasonic detection', 'water deposit removal', 'service efficiency', 'halogen lamp heater']"
365034974,"['solar panel', 'light sensor', 'automatic inclination', 'synchronous swing', 'sunlight tracking']"
365011617,"['aerial camera control', 'UAV interface integration', 'remote shutter operation', 'vidicon zoom control', 'disaster relief imaging']"
364995477,"['ECU bracket', 'heavy truck transmission', 'U-shaped design', 'projection welding', 'ergonomic assembly']"
364996148,"['unmanned plane', 'mountain patrol', 'lithium battery', 'brushless motor', 'Kevlar fuselage']"
365006601,"['GPS receiver', 'central processing unit', 'vertical gyroscope', 'data radio', 'airspeed sensor']"
365000268,"['automatic locking', 'burglarproof lock', 'cam lock core', 'clamping shaft', 'energy storage tension spring']"
365000286,"['self-lock mechanism', 'cabinet door hook', 'protective cover design', 'automatic clamping', 'handle operation']"
365002334,"['planetary gear train', 'stepless speed changer', 'hydraulic mechanical transmission', 'dual power input', 'lubrication system']"
364999177,"['nano cerium oxide', 'luminescent road mark', 'reflective film', 'energy storage', 'environment-friendly']"
364999187,"['nano oxide', 'rare earth aluminate', 'in situ polymerization', 'luminous road mark', 'energy storage']"
364998644,"['L-shaped scissor', 'tool holder alignment', 'blade extension', 'side block', 'angled air blowpipe']"
365036360,"['3D ultrasound', 'distance measurement', 'slice plane translation', 'automatic distance calculation', 'user interface interaction']"
365174572,"['fault recognition', 'ANFIS algorithm', 'planetary gear box', 'vibration data', 'measure point fusion']"
365173755,"['flight path calculation', 'tactical command integration', 'waypoint navigation', 'vector trajectory', 'adaptive flight management']"
365164056,"['automatic compression', 'transmission device', 'positioning structure', 'spring-loaded mechanism', 'machining stability']"
365117663,"['flight path trajectory', 'automatic waypoint generation', 'tactical command integration', 'vector-based navigation', 'dynamic flight adjustment']"
365186351,"['automatic trapezoid correction', 'angle sensor', 'projector stabilization', 'image distortion correction', 'master control chip']"
365183100,"['paperboard edge covering', 'automatic turning', 'clamping board rotation', 'horizontal cylinder', 'speed reduction box']"
365362009,"['convection filling', 'ink cartridge', 'wimble column', 'ink conduits', 'air conduits']"
365361674,"['perforating precision', 'semi-automatic machine', 'fabric leather processing', 'detachable tool', 'planar surface alignment']"
365349101,"['scattering optical system', 'reaction container design', 'reduced reagent volume', 'automated analysis device', 'angled light source']"
365378380,"['plastic suction machine', 'automatic fixture', 'vacuum shaft', 'lifting mechanism', 'spring-loaded stabilization']"
365377578,"['automatic milling saw', 'planetary gear drive', 'cutter head rotation', 'cooling system', 'energy-efficient motor']"
365370423,"['vacuum sucking', 'solar cell transfer', 'elastic suckers', 'rotation mechanism', 'I/O control']"
365368303,"['millimeter wave', 'scattering coefficient', 'double-port calibration', 'vector network analyzer', 'bistatic antenna']"
365368436,"['wireless positioning', 'UAV beacon', 'soldier tracking', 'signal intensity', 'virtual node']"
365465163,"['mechanical arm fixture', 'workpiece taking device', 'symmetrical suction', 'automatic threading', 'production efficiency']"
365465035,"['adhesive dispensing', 'needle cylinder', 'electronic control valve', 'automatic feeding', 'adjustable output']"
365452046,"['elastic boring bar', 'automatic radial adjustment', 'elastic deforming body', 'inclined block mechanism', 'jacking rod component']"
365452964,"['PLC control', 'automatic washing', 'intelligent route calculation', 'symmetrical washing mechanism', 'distance measuring']"
365453145,"['soft bag filling', 'automatic feeding', 'PLC control', 'adjustable splicing', 'ergonomic design']"
365451948,"['nip machine', 'arc-shaped edge processing', 'concave cambered surface', 'gyro wheel support', 'high efficiency mechanism']"
365435750,"['terrain mapping', 'autonomous landing', 'emergency landing site', 'onboard processor', 'software module']"
365467171,"['semiconductor packaging', 'automatic foot-ordering', 'programmable logic controller', 'electromagnetic valve cylinder', 'pressure decompressor']"
365473004,"['L wave receiver', 'logarithmic amplifier', 'automatic gain control', 'band pass filter', 'frequency synthesizer']"
365607833,"['signal detection', 'copper plate packaging', 'wheel gear assembly', 'synchronous rotation', 'approach switch']"
365614301,"['sharpness retention', 'automatic compensation', 'inclined plane design', 'blade wear reduction', 'hair clipper longevity']"
365472099,"['torsional spring', 'cantilever assembly', 'slide block', 'automatic changeover', 'switching acceleration']"
365710369,"['collision avoidance', 'phased array radar', 'UAV flight control', 'object detection', 'maneuver decision']"
365710887,"['prepreg substrate', 'UAV launch tube', 'structural panel', 'tethered sabot', 'pressure seal']"
365706517,"['3D airship model', 'image distortion prevention', 'virtual sheet mapping', 'aerial advertising', 'surface graphics expansion']"
365706482,"['unmanned aerial vehicle', 'survivor search', 'GPS receiver', 'quadcopter control', 'signal detection']"
365735949,"['cross-shaped universal joint', 'restoration spring', 'swinging rod', 'energy storage', 'precise restoration']"
365723515,"['intelligent detection', 'snow removal agent', 'command control', 'recycling device', 'automatic operation']"
365872813,"['UAV control', '3D imaging', 'flight boundary monitoring', 'remote warning system', 'geographic data integration']"
365852916,"['cross-shaped packing', 'resilient restoring moment', 'anti-displacement design', 'protrusion stabilization', 'inclined axis accommodation']"
365848692,"['optical module', 'surface optical element', 'core-containing joint', 'automatic positioning', 'recessed portion']"
365884107,"['rapid roller exchange', 'compact machine design', 'automatic control system', 'mill productivity', 'chain rail engagement']"
365884236,"['automatic seaming', 'cambered edge', 'driving roller', 'driven roller', 'idler wheel']"
365886360,"['automatic expansion', 'unreeling spindle', 'clamping key', 'paper tube core', 'arc-shaped groove']"
365884517,"['automatic gripping', 'swing arm mechanism', 'rotation driving device', 'labor reduction', 'efficiency improvement']"
365887315,"['insulation board', 'fire protection', 'water pipe network', 'stainless steel mesh', 'modular installation']"
365996710,"['T-shaped commutator', 'elastic coupler', 'frequency conversion braking motor', 'screw elevators', 'guide rods']"
365997435,"['excavating machine support', 'oil cylinder linkage', 'adaptive foot sole', 'counterweight stabilization', 'dual-material contact']"
365990547,"['real-time transmission', 'multi-frequency signal', 'airborne system', 'unmanned aerial vehicle', 'data reliability']"
365964106,"['retransmitter unit', 'compressed gas cylinder', 'mechanical synchroniser', 'rotary sections', 'easy-to-break membrane']"
374801276,"['UAV control', 'angle deviation', 'flight direction adjustment', 'command optimization', 'directional synchronization']"
374798679,"['multi-plane scanning', 'laser scanner integration', 'mirror block reflection', 'vehicle safety system', 'dynamic scanning planes']"
374778040,"['power transfer', 'planetary gear set', 'composite transmission', 'friction clutch', 'multi-step gearing']"
374776868,"['real-time monitoring', 'UAV-based sensing', '3D spatial visualization', 'air pollution index', 'command transmission']"
374959209,"['XY screw rod platform', 'mechanical clamps', 'belt wheel transmission', 'automatic blanking', 'material discharge automation']"
374942685,"['movable pet house', 'accommodating layers', 'triangular beam', 'tiled roof', 'automatic dismantling']"
374956276,"['hinge window', 'saltpeter filling', 'quantitative template', 'rotatable hinges', 'push plate mechanism']"
374953187,"['core door', 'wedge-shaped strips', 'spring mechanism', 'burglar alarm', 'emergency escape']"
374953342,"['autorotation device', 'worm gear', 'plane bearing', 'steel ball', 'rubber sealing']"
374950110,"['umbrella anchor', 'mooring airship', 'wind direction adjustment', 'lift performance', 'weight reduction']"
375111316,"['UAV inspection', 'SCADA integration', 'mobile sensor platform', 'ad-hoc monitoring', 'optimal route planning']"
375117192,"['recyclable stone paper', 'inorganic mineral powder', 'polypropylene composite', 'continuous compression molding', 'eco-friendly combustion']"
375091786,"['spectacle alignment', 'optical axis', 'lens measurement', 'automatic positioning', 'spring-loaded clamping']"
375086067,"['clutch mechanism', 'centrifugal force activation', 'planetary gear integration', 'automatic disengagement', 'rotary drive control']"
375141729,"['unmanned plane', 'outboard wing', 'aerodynamic layout', 'geometric outline', 'relative thickness']"
375141731,"['ski-wheel undercarriage', 'UAV landing system', 'shock absorption mechanism', 'terrain adaptability', 'compact design']"
375142495,"['machining fixture', 'overflow brick', 'elastic support', 'ball valve ejector', 'adaptive leveling']"
375140344,"['button processing', 'automatic positioning', 'circle trimming', 'spindle motor', 'rotating motor']"
375130823,"['hemorrheology detection', 'blood sample mixing', 'viscosity measurement', 'automatic sampling', 'limit switch control']"
375233070,"['UAV control', 'independent vanes', 'fault detection', 'adaptive maneuvering', 'dynamic reconfiguration']"
375233226,"['cable reel lifting', 'mandrel-shaped gripper', 'flange contact surface', 'automatic reel handling', 'jaw movement mechanism']"
375201014,"['elevated transport profile', 'core stiffening', 'wind resistance', 'rectangular structural element', 'independent thickener ability']"
375263258,"['two-degree-freedom control', 'azimuth-drive motor', 'pitching motor', 'sensor switching', 'real-time data transmission']"
375261677,"['fixed core clamping', 'wheel hub processing', 'spring-loaded mechanism', 'automatic correction', 'collision avoidance']"
375269792,"['buoy water sampling', 'three-way valve system', 'pressure sensor array', 'automated water quality analysis', 'solar-powered device']"
375268340,"['self-braking gear', 'involute differential', 'aerial cableway reducer', 'eccentric bearing', 'V-groove brake']"
375274995,"['unmanned aerial vehicle', 'wireless image transmission', 'digital modulation', 'real-time data', 'microwave communication']"
375272150,"['ADS-B monitoring', 'UAT 1090ES integration', 'flight status verification', 'airborne CDTI', 'GNSS data coding']"
